ensg	lof.pLI	lof.z_score	mis.z_score	syn.z_score
ENSG00000075239	3.19E-04	2.34E+00	1.07E+00	-2.85E-01
ENSG00000120437	1.91E-06	1.47E+00	8.49E-01	5.72E-01
ENSG00000182827	5.92E-03	3.58E+00	1.12E+00	-1.29E+00
ENSG00000181513	2.18E-12	9.48E-01	4.96E-01	1.07E-01
ENSG00000107897	2.29E-06	3.05E+00	1.67E+00	6.38E-02
ENSG00000230124	1.23E-05	1.29E+00	1.57E-01	1.05E+00
ENSG00000176244	1.96E-04	2.31E-01	-1.74E-01	-6.03E-01
ENSG00000110455	7.80E-11	2.02E+00	7.91E-01	7.20E-01
ENSG00000205126	4.21E-15	1.19E+00	1.38E+00	5.73E-01
ENSG00000102977	4.31E-10	1.86E+00	1.07E+00	-6.09E-01
ENSG00000159640	6.24E-32	2.62E+00	-5.03E-01	-1.68E+00
ENSG00000167769	1.31E-11	-2.09E-01	1.10E-01	9.55E-02
ENSG00000177076	1.46E-07	8.19E-01	-3.99E-01	-3.70E-01
ENSG00000078124	3.05E-01	1.90E+00	8.71E-01	-5.01E-01
ENSG00000087085	8.14E-01	3.80E+00	2.75E+00	-7.29E-01
ENSG00000100813	1.00E+00	9.27E+00	2.78E+00	9.75E-01
ENSG00000213088	1.94E-02	-3.00E-02	-3.84E-01	-7.59E-01
ENSG00000144648	1.18E-01	-8.52E-01	8.04E-01	-1.13E-01
ENSG00000144476	9.81E-01	3.12E+00	1.69E+00	2.39E-01
ENSG00000129048	1.23E-01	1.08E+00	3.56E+00	2.51E+00
ENSG00000131473	1.00E+00	6.62E+00	4.26E+00	1.68E+00
ENSG00000153086	1.82E-08	1.14E+00	1.29E-01	6.64E-01
ENSG00000122729	1.55E-14	2.60E+00	2.11E+00	1.27E+00
ENSG00000100412	9.81E-01	5.06E+00	4.34E+00	4.40E-01
ENSG00000102794	2.25E-03	3.67E-01	1.02E+00	1.73E+00
ENSG00000184227	2.02E-01	8.01E-01	2.99E+00	3.16E+00
ENSG00000162390	5.93E-21	8.22E-01	7.47E-01	1.21E+00
ENSG00000172497	4.85E-13	1.92E+00	-4.16E-01	-3.74E-01
ENSG00000112304	6.12E-04	4.07E-01	3.16E-01	7.46E-01
ENSG00000119673	6.97E-05	8.44E-01	2.73E-01	-1.15E+00
ENSG00000177465	9.98E-06	-7.05E-02	5.89E-02	-1.18E-02
ENSG00000205669	6.80E-08	-1.91E+00	-4.95E-01	-9.86E-01
ENSG00000097021	9.95E-01	3.79E+00	2.09E+00	-6.34E-01
ENSG00000101473	5.83E-10	9.68E-01	1.11E+00	7.88E-01
ENSG00000161533	1.71E-05	3.63E+00	3.07E+00	3.13E-01
ENSG00000168306	3.61E-16	2.03E+00	1.07E+00	1.22E+00
ENSG00000087008	8.47E-23	6.36E-01	-8.65E-02	-1.78E-01
ENSG00000153093	1.72E-23	-7.67E-02	8.37E-01	1.07E+00
ENSG00000143727	1.49E-07	-2.04E-01	2.63E-01	-2.82E-01
ENSG00000134575	1.02E-06	2.50E+00	1.34E+00	7.69E-01
ENSG00000014257	4.43E-07	1.10E+00	3.98E-01	4.39E-01
ENSG00000142513	3.02E-19	-6.59E-01	-7.30E-01	-1.94E+00
ENSG00000102575	8.64E-08	8.60E-01	1.46E+00	1.26E+00
ENSG00000162836	1.42E-16	-1.53E-01	6.65E-01	1.14E+00
ENSG00000183760	1.12E-18	5.27E-01	6.28E-01	2.38E-01
ENSG00000100312	3.09E-04	1.64E+00	1.29E+00	3.07E-01
ENSG00000111644	6.86E-13	1.98E+00	1.29E+00	1.39E-01
ENSG00000134940	2.30E-03	2.13E+00	8.17E-01	1.02E+00
ENSG00000103740	3.17E-03	4.28E+00	2.05E+00	1.41E-01
ENSG00000130377	3.69E-16	1.48E+00	1.36E+00	-1.53E-01
ENSG00000167107	6.45E-12	2.46E+00	1.90E+00	9.89E-01
ENSG00000176715	2.66E-36	-2.72E+00	-2.00E+00	-2.27E+00
ENSG00000151726	4.78E-02	4.70E+00	2.18E+00	7.31E-01
ENSG00000123983	1.07E-02	3.92E+00	2.51E+00	1.09E-02
ENSG00000197142	1.45E-07	3.52E+00	1.25E+00	1.13E+00
ENSG00000164398	7.99E-04	4.65E+00	2.32E+00	-1.93E-01
ENSG00000166743	2.62E-26	-2.06E-01	8.90E-01	1.27E-02
ENSG00000183747	3.02E-25	-9.33E-02	-2.90E-02	-1.42E-02
ENSG00000066813	1.38E-15	1.70E+00	9.40E-02	-3.06E-01
ENSG00000005187	5.15E-16	1.42E+00	1.10E+00	1.30E+00
ENSG00000215009	1.09E-19	9.38E-01	1.15E+00	1.32E+00
ENSG00000183549	1.68E-15	1.39E+00	1.49E-01	-8.00E-02
ENSG00000173124	1.31E-07	1.86E+00	1.44E+00	1.51E+00
ENSG00000154930	7.01E-07	3.32E+00	1.88E+00	-1.76E-01
ENSG00000131069	5.55E-10	2.87E+00	1.67E+00	8.10E-01
ENSG00000111058	2.58E-14	1.87E+00	9.32E-01	-2.56E-01
ENSG00000143632	3.10E-06	1.73E+00	6.09E+00	7.16E-01
ENSG00000107796	9.94E-01	3.86E+00	4.62E+00	1.33E+00
ENSG00000075624	1.00E+00	4.54E+00	7.69E+00	-4.05E+00
ENSG00000169067	1.98E-12	-8.49E-01	-1.14E-01	8.24E-01
ENSG00000159251	9.73E-01	3.41E+00	6.32E+00	-5.55E-03
ENSG00000184009	4.59E-01	3.05E+00	4.89E+00	-7.21E+00
ENSG00000163017	2.82E-01	3.11E+00	4.36E+00	1.63E-01
ENSG00000288649	2.74E-03	-1.07E+00	-1.48E+00	-1.00E+00
ENSG00000136518	1.00E+00	5.07E+00	3.63E+00	7.77E-01
ENSG00000077080	9.62E-13	1.70E+00	3.37E+00	-1.45E-01
ENSG00000187003	1.06E-08	6.78E-01	5.21E-01	-1.44E-01
ENSG00000148156	1.89E-07	1.03E-01	-6.10E-01	-7.14E-01
ENSG00000117148	6.01E-01	1.97E+00	2.00E+00	-4.02E-01
ENSG00000181786	1.87E-01	7.44E-01	-5.51E-01	-5.14E-01
ENSG00000072110	1.00E+00	7.10E+00	5.20E+00	1.59E+00
ENSG00000077522	1.00E+00	5.98E+00	2.27E+00	8.12E-01
ENSG00000248746	1.16E-24	1.88E+00	-3.38E-01	1.43E-01
ENSG00000130402	1.00E+00	7.54E+00	5.69E+00	2.09E-02
ENSG00000131966	5.11E-05	9.53E-01	4.89E-01	9.80E-02
ENSG00000138107	1.00E+00	4.82E+00	4.12E+00	5.78E-01
ENSG00000115073	2.68E-09	1.59E+00	6.70E-01	2.49E-02
ENSG00000138071	1.00E+00	4.77E+00	4.52E+00	7.60E-01
ENSG00000115091	9.95E-01	3.64E+00	3.11E+00	-1.54E-01
ENSG00000133627	1.00E+00	4.60E+00	3.59E+00	7.55E-01
ENSG00000106526	2.89E-04	1.28E+00	1.19E+00	1.89E+00
ENSG00000101442	1.23E-12	1.50E+00	-1.66E-01	-9.35E-01
ENSG00000075089	2.29E-06	1.35E+00	1.95E+00	5.61E-01
ENSG00000113812	7.19E-17	1.20E+00	1.37E+00	4.48E-01
ENSG00000169717	2.88E-01	1.07E+00	5.52E-01	-7.63E-01
ENSG00000184378	4.66E-07	5.73E-01	6.08E-01	7.05E-01
ENSG00000115170	2.41E-08	2.38E+00	2.95E+00	1.02E+00
ENSG00000135503	1.00E+00	4.73E+00	4.55E+00	3.94E-01
ENSG00000123612	1.75E-01	3.55E+00	1.97E+00	2.31E-01
ENSG00000121989	1.00E+00	5.75E+00	4.73E+00	9.50E-01
ENSG00000114739	1.00E+00	4.96E+00	3.05E+00	-2.55E-01
ENSG00000139567	5.11E-01	3.73E+00	3.19E+00	-1.87E-01
ENSG00000243989	1.52E-09	1.98E+00	1.27E+00	1.35E+00
ENSG00000132744	1.67E-06	7.39E-01	3.42E-02	5.08E-01
ENSG00000119640	5.88E-03	7.83E-01	1.01E+00	4.46E-01
ENSG00000170634	6.70E-02	3.90E-01	-4.08E-01	-5.76E-01
ENSG00000196839	9.64E-15	4.54E-01	4.70E-01	3.03E-01
ENSG00000093072	5.39E-06	1.99E+00	3.25E-01	1.21E+00
ENSG00000164113	4.17E-06	2.65E+00	1.35E+00	-3.59E-01
ENSG00000140955	4.10E-25	-1.38E+00	-4.68E+00	-5.60E+00
ENSG00000168803	7.63E-10	5.54E-01	1.10E+00	9.09E-01
ENSG00000137845	1.00E+00	6.37E+00	3.92E+00	7.83E-02
ENSG00000073670	4.56E-04	4.72E+00	2.39E+00	5.93E-01
ENSG00000148848	9.89E-15	2.81E+00	1.76E+00	3.54E-01
ENSG00000143537	1.25E-17	2.85E+00	1.54E+00	1.55E+00
ENSG00000151694	1.01E-01	4.33E+00	2.58E+00	4.34E-01
ENSG00000168619	2.47E-29	-1.84E+00	-8.08E-01	-4.44E-01
ENSG00000135074	2.76E-13	3.59E+00	1.52E+00	-2.80E-01
ENSG00000104755	4.65E-11	5.64E-01	1.47E-02	-1.14E+00
ENSG00000134007	1.19E-01	-7.97E-01	7.37E-01	7.54E-01
ENSG00000139985	1.41E-01	-2.48E-01	2.33E+00	1.17E+00
ENSG00000008277	5.53E-01	5.15E+00	2.29E+00	4.77E-01
ENSG00000114948	1.00E+00	5.88E+00	1.97E+00	4.25E-02
ENSG00000042980	1.43E-25	-8.83E-02	-3.04E-01	-2.95E-01
ENSG00000168594	8.11E-03	-8.57E-01	8.26E-01	-3.38E-01
ENSG00000134249	1.50E-01	-1.14E-01	6.12E-01	-5.61E-01
ENSG00000197140	5.90E-14	1.18E+00	1.95E-03	-3.02E-01
ENSG00000149451	6.28E-39	-7.98E-01	-1.75E+00	-2.26E+00
ENSG00000069206	2.28E-22	3.73E-01	-4.17E-01	-6.62E-02
ENSG00000151651	2.84E-40	-1.58E+00	-1.40E+00	-2.15E+00
ENSG00000168615	1.81E-03	4.75E+00	2.33E+00	1.02E+00
ENSG00000134028	1.33E-14	2.45E-01	9.67E-02	-1.97E-01
ENSG00000154734	1.00E+00	6.05E+00	1.24E-01	-1.26E+00
ENSG00000142303	9.96E-01	6.13E+00	3.81E+00	5.26E-01
ENSG00000151388	2.94E-26	3.72E+00	1.48E+00	9.74E-01
ENSG00000160323	1.00E-29	2.19E+00	9.27E-01	-5.93E-01
ENSG00000138316	2.84E-27	1.70E+00	8.08E-01	-2.18E-01
ENSG00000166106	3.42E-02	3.86E+00	-6.83E-02	-1.18E+00
ENSG00000145536	1.84E-19	3.28E+00	-2.01E-01	-1.42E+00
ENSG00000140470	2.29E-31	1.72E+00	-1.54E+00	-3.46E+00
ENSG00000140873	1.08E-48	8.38E-01	-4.09E+00	-4.21E+00
ENSG00000145808	5.28E-18	2.82E+00	-3.85E-01	-2.10E+00
ENSG00000087116	1.01E-03	5.00E+00	1.49E+00	-2.95E-02
ENSG00000173157	5.88E-51	2.03E+00	-1.83E-01	-2.06E-01
ENSG00000156140	1.21E-09	4.19E+00	9.51E-01	1.12E+00
ENSG00000158859	9.95E-07	3.11E+00	1.33E+00	1.28E+00
ENSG00000154736	7.54E-12	2.68E+00	6.62E-01	-2.62E-01
ENSG00000049192	1.00E+00	8.36E+00	4.22E+00	8.25E-01
ENSG00000136378	6.60E-19	3.65E+00	1.04E+00	-9.19E-01
ENSG00000134917	1.15E-15	9.63E-01	-6.90E-01	-1.68E+00
ENSG00000163638	8.69E-01	8.23E+00	1.53E+00	-1.19E+00
ENSG00000178031	1.59E-24	4.19E+00	-2.76E+00	-3.67E+00
ENSG00000197859	2.27E-08	3.90E+00	1.08E+00	-8.94E-01
ENSG00000156218	2.82E-20	4.80E+00	1.67E+00	1.04E+00
ENSG00000143382	1.11E-25	2.11E+00	9.36E-01	7.94E-02
ENSG00000185761	7.07E-23	-8.12E-01	-2.31E+00	-1.38E+00
ENSG00000105963	5.32E-08	1.67E+00	-1.24E+00	-5.07E+00
ENSG00000184060	1.93E-11	1.25E+00	7.71E-01	2.38E-01
ENSG00000160710	1.00E+00	6.04E+00	3.42E+00	-3.03E-02
ENSG00000197381	1.00E+00	4.97E+00	3.74E+00	1.12E+00
ENSG00000185736	4.47E-03	3.08E+00	-1.55E+00	-3.28E+00
ENSG00000065457	2.09E-19	2.75E-01	-1.40E+00	-7.67E-01
ENSG00000189007	3.75E-08	2.70E-01	8.01E-01	9.17E-01
ENSG00000213638	5.70E-04	-8.77E-01	-4.89E+00	-5.22E+00
ENSG00000063761	5.80E-09	1.87E+00	5.61E-01	1.22E+00
ENSG00000133597	2.74E-09	1.85E+00	1.28E+00	7.44E-01
ENSG00000173137	4.51E-11	1.42E+00	-5.80E-01	-4.06E+00
ENSG00000164742	1.00E+00	6.40E+00	4.71E+00	-3.04E-01
ENSG00000143199	1.26E-38	2.23E+00	2.31E+00	1.30E+00
ENSG00000078295	1.00E+00	6.67E+00	4.95E+00	7.36E-01
ENSG00000138031	3.90E-11	3.98E+00	3.20E+00	-5.96E-01
ENSG00000129467	2.50E-35	6.45E-01	7.50E-01	-3.03E-01
ENSG00000173175	1.00E+00	6.81E+00	4.48E+00	2.31E-01
ENSG00000174233	1.36E-07	4.41E+00	3.63E+00	1.95E+00
ENSG00000121281	2.95E-13	3.60E+00	2.39E+00	-6.48E-01
ENSG00000155897	4.96E-04	4.66E+00	2.05E+00	-2.28E-01
ENSG00000162104	6.11E-05	4.54E+00	1.91E+00	-1.91E+00
ENSG00000141433	2.23E-01	1.76E+00	-1.51E+00	-1.35E+00
ENSG00000078549	7.45E-09	2.70E+00	1.96E+00	2.67E-01
ENSG00000087274	1.00E+00	5.65E+00	1.35E+00	1.06E+00
ENSG00000075340	1.00E+00	5.64E+00	2.63E+00	4.68E-01
ENSG00000148700	1.00E+00	5.11E+00	9.95E-01	3.65E-01
ENSG00000118492	1.51E-32	1.97E+00	2.31E-02	2.28E-01
ENSG00000197177	2.44E-03	1.35E+00	-9.97E-01	-1.77E+00
ENSG00000020181	1.23E-15	1.80E+00	-5.40E-01	-2.47E+00
ENSG00000152990	4.54E-05	4.50E+00	1.25E+00	6.24E-01
ENSG00000181790	1.00E+00	6.73E+00	1.69E+00	-3.81E+00
ENSG00000121753	1.00E+00	7.41E+00	3.84E+00	-4.05E-02
ENSG00000135298	1.00E+00	8.69E+00	2.43E+00	-3.97E-01
ENSG00000111452	5.04E-12	2.62E+00	1.12E+00	6.37E-02
ENSG00000174837	2.73E-22	1.80E+00	8.98E-01	4.57E-01
ENSG00000127507	3.72E-23	1.21E+00	2.37E+00	1.42E+00
ENSG00000131355	2.53E-24	-2.30E-01	1.10E+00	6.99E-01
ENSG00000123146	9.34E-19	1.60E+00	7.98E-01	-3.29E-01
ENSG00000153292	5.31E-24	-1.30E-01	-3.38E-01	-1.25E-01
ENSG00000173567	4.71E-26	8.85E-01	1.59E+00	4.53E-01
ENSG00000153294	1.10E-16	-3.36E-01	-5.63E-01	-1.22E-01
ENSG00000069122	5.38E-08	3.38E+00	1.20E+00	-4.28E-01
ENSG00000205336	6.31E-12	2.25E+00	1.40E+00	3.63E-02
ENSG00000182885	1.13E-09	1.80E+00	8.02E-01	-3.34E-01
ENSG00000159618	9.84E-10	1.51E+00	6.48E-01	3.93E-01
ENSG00000112414	1.65E-01	3.17E+00	8.94E-01	5.53E-01
ENSG00000144820	1.47E-15	3.81E-01	7.64E-01	-3.78E-01
ENSG00000072071	1.00E+00	7.64E+00	4.03E+00	-1.11E+00
ENSG00000117114	1.00E+00	7.27E+00	2.68E+00	1.76E+00
ENSG00000150471	1.00E+00	5.73E+00	2.49E+00	2.39E-01
ENSG00000162618	1.73E-27	-1.16E+00	-5.18E-01	-7.98E-01
ENSG00000164199	6.40E-36	7.27E+00	2.33E+00	1.07E+00
ENSG00000187758	8.77E-09	9.66E-01	1.69E-01	9.10E-01
ENSG00000196616	1.29E-06	1.37E+00	8.09E-01	1.89E-01
ENSG00000248144	5.16E-07	1.46E+00	1.14E+00	6.05E-02
ENSG00000198099	1.81E-06	1.13E+00	-2.48E-01	-5.42E-01
ENSG00000197894	9.26E-09	6.46E-01	1.59E+00	1.30E+00
ENSG00000172955	5.86E-11	2.97E-01	3.37E-01	-3.49E-02
ENSG00000196344	6.46E-15	-4.75E-01	-9.34E-01	-4.18E-01
ENSG00000147576	9.92E-09	1.59E+00	-2.64E-02	9.57E-01
ENSG00000182551	1.08E-10	-9.10E-01	-2.64E-01	-1.58E-01
ENSG00000182035	1.20E-05	-6.57E-01	8.07E-01	3.24E-01
ENSG00000181092	3.63E-09	-6.14E-01	2.33E-02	4.01E-01
ENSG00000159346	7.79E-01	3.33E+00	3.54E+00	3.95E-01
ENSG00000006831	1.76E-01	3.09E+00	3.52E+00	4.36E-01
ENSG00000148671	1.20E-04	-3.25E-01	-7.42E-01	-1.02E+00
ENSG00000156110	2.17E-04	1.85E+00	1.72E+00	5.73E-01
ENSG00000148926	9.04E-01	2.27E+00	3.32E-01	4.07E-01
ENSG00000128165	1.23E-04	-7.53E-01	-2.04E+00	-2.93E+00
ENSG00000224420	2.11E-01	4.09E-01	4.87E-02	-2.23E-01
ENSG00000101126	1.00E+00	7.50E+00	2.58E+00	-1.43E+00
ENSG00000101544	1.83E-01	1.68E+00	6.81E-01	-1.52E+00
ENSG00000181915	1.23E-03	4.10E-01	-7.49E-01	-1.92E+00
ENSG00000163485	8.62E-01	2.63E+00	2.55E+00	7.38E-02
ENSG00000128271	3.02E-02	1.92E+00	1.84E+00	8.07E-01
ENSG00000170425	3.49E-08	4.48E-02	-3.93E-01	-2.51E-01
ENSG00000282608	1.28E-01	1.10E+00	1.22E+00	-3.03E-01
ENSG00000159322	8.24E-07	1.71E+00	4.99E-01	-8.11E-01
ENSG00000144843	6.54E-09	7.31E-01	8.28E-01	5.82E-01
ENSG00000153531	6.40E-15	1.12E-01	1.21E+00	3.39E-01
ENSG00000170222	2.45E-04	1.58E+00	1.70E+00	7.41E-01
