gene	phi
FAM208B	0.999321136
NOTCH1	0.999296344
ARFGEF1	0.999229829
KDM5A	0.999198691
PRRC2B	0.999169701
DMXL2	0.999146894
CHD1	0.999129712
EIF4G1	0.999119431
MYO5A	0.999088463
TNRC18	0.999065805
CDC42BPB	0.999058406
CELSR2	0.998987151
ANK1	0.998966958
SCN1A	0.998959109
ANKRD12	0.998937867
ARID2	0.99893218
KDM3B	0.998898691
TMEM131	0.998863303
ZCCHC11	0.998855077
DCHS1	0.998854518
CHD4	0.998825259
CACNA1I	0.998815871
GTF3C1	0.998791839
TET1	0.998770211
MYH10	0.998734019
FBN2	0.998686989
MED13	0.998685828
DOCK4	0.998656803
KAT6B	0.998654235
SPTA1	0.998600735
TRIP12	0.998577329
RIMS1	0.998550386
CENPE	0.998542619
YTHDC2	0.998410607
NAV1	0.998321365
NCOA6	0.998317812
PSME4	0.998272489
DLG5	0.998258153
CAMTA1	0.998125028
BRWD1	0.998100468
PBRM1	0.998085741
KIAA0100	0.998035635
HEATR1	0.998004467
TNIK	0.997957331
PPRC1	0.997912116
BAI3	0.997911248
CEP170	0.997905786
KIAA1549	0.997899825
ARHGEF12	0.997895249
PLXNB2	0.99781261
NOTCH2	0.997811627
NFAT5	0.997786461
BTAF1	0.99778064
HIVEP2	0.997778438
SNRNP200	0.997748439
ROCK2	0.997673387
KIF1B	0.997632212
ITPR1	0.997491498
SMARCA4	0.997465561
TIAM1	0.997461473
SLIT3	0.997407946
WDR7	0.997391084
BAZ1B	0.997378624
MAP2	0.997309243
SPTB	0.997290756
PTPRM	0.997279341
RBBP6	0.997188396
ARHGEF11	0.99712935
ATAD2B	0.996974768
KIAA0430	0.996963318
TOPBP1	0.996946607
MLLT4	0.996792277
RAPGEF2	0.996744822
POGZ	0.996714183
NAV3	0.996699395
WHSC1L1	0.996423622
DHX9	0.996410775
ARID1A	0.996319898
NF1	0.996313489
GAPVD1	0.99625364
SLIT2	0.996240074
ANKHD1-EIF4EBP3	0.99623453
MICAL3	0.996187875
SBNO1	0.996010294
NEO1	0.995984166
SBF2	0.995881987
INSR	0.995855372
RALGAPA1	0.995682186
LPHN1	0.995642449
TNR	0.995617165
CAMSAP2	0.995599872
PLCG1	0.995569629
WDR33	0.995430572
DSP	0.995398246
TOP2B	0.99521931
PCF11	0.995109352
SF3B1	0.995071137
COL5A2	0.994970724
HMCN1	0.994957081
SMC3	0.994851576
ATRN	0.994839335
NCOA1	0.994831064
SCAF8	0.994801439
KIAA0922	0.99476362
ARHGAP5	0.994759557
RBM6	0.994736869
COL4A1	0.994718217
ATG2B	0.994661957
KIF26B	0.994643548
PLXNA1	0.994599254
GLI3	0.99437367
DOCK10	0.994312614
DOCK2	0.994252603
MLL5	0.993822186
KIF13A	0.993807705
PIK3CA	0.993790987
KDM2A	0.9937804
LRP6	0.993757214
CASC5	0.993746722
THSD7A	0.993701712
STAG1	0.993687514
TNRC6A	0.99366695
PPFIA1	0.993592219
MAP3K4	0.993581412
PLXNC1	0.993473384
COL1A1	0.993383157
KIAA0947	0.993376333
DSCAM	0.993330477
BAI2	0.993292117
PIK3R4	0.993278577
NEURL4	0.99325495
SIN3A	0.993211618
ZNF318	0.993180794
PTPRZ1	0.99315732
ZNF407	0.99301512
NUP98	0.992995693
MED12L	0.992987039
MEGF8	0.992975064
DOCK7	0.992963587
FAM135B	0.992956892
ZNF609	0.992946063
ATAD5	0.992926799
GRIN2B	0.99285424
ARHGEF17	0.992710918
SPAG9	0.992545572
GCN1L1	0.992459063
ZNF644	0.992454336
ROCK1	0.992363721
SETDB1	0.992352248
SVIL	0.992318952
NUP153	0.992297261
UPF2	0.992170289
CLTC	0.992005583
SPEG	0.991950463
PRPF4B	0.991898099
SOS1	0.991700377
ZNF608	0.991680697
CTNND2	0.991527019
RPRD2	0.991459363
TP53BP1	0.9914338
USP19	0.991368803
NOTCH3	0.991361054
PDS5A	0.991345418
EHMT1	0.99132155
CPS1	0.99101042
NUMA1	0.990792534
MBD5	0.990783012
CDK12	0.990739723
CIT	0.990705623
ARID4B	0.990689865
ZNF521	0.990624638
FNDC3B	0.990609908
USP47	0.990469471
ITSN1	0.990195157
AQR	0.990019676
ZBTB11	0.989979269
ARHGAP32	0.989906809
BAZ2B	0.989763397
PTCH1	0.989748019
SMCHD1	0.98966562
GPATCH8	0.989657075
MYH11	0.989570114
KIF23	0.989256047
ZFR	0.989205306
TAOK2	0.989020734
DENND5B	0.988990148
DDX46	0.988975074
USP7	0.98895051
RSF1	0.988790282
NFASC	0.988735637
FNDC3A	0.988674425
TCF20	0.988627129
SMG7	0.988496403
ERBB2	0.9883297
PLXND1	0.988248817
SETD5	0.988182786
SOGA2	0.988134291
EIF5B	0.988108223
SETD1A	0.988082544
MAN2A1	0.987992466
PTPRK	0.98779495
SMARCA5	0.987716656
TRAPPC10	0.987660162
SENP6	0.987337489
TRPS1	0.987134169
TPP2	0.987134147
SEC24B	0.987087998
ZFYVE9	0.986998762
TNRC6B	0.986827544
PUM1	0.986711036
TBC1D9	0.986477436
VCPIP1	0.986441576
CDK13	0.986419915
SMARCC1	0.986381898
SUPT16H	0.986350797
ZMYM2	0.986182
SHPRH	0.986116939
SORL1	0.985932476
NRXN1	0.985783599
GTF3C2	0.985748145
NCKAP5	0.985682723
TRAPPC8	0.985615575
LPHN2	0.985591365
SHANK1	0.98541589
ASTN2	0.9853848
UGGT1	0.985350619
CUX1	0.9852904
EGFR	0.985280841
XPO7	0.985167628
INO80	0.985095235
LRRC7	0.98509291
STXBP5	0.985064575
ZFHX3	0.985037482
ARHGEF2	0.984877639
USP31	0.984834872
USP32	0.98469546
GIGYF2	0.984695156
SIPA1L1	0.984677601
RNF17	0.984668376
PCNX	0.984412087
USP8	0.984061013
ADAMTS6	0.983821315
U2SURP	0.983637252
LRRK1	0.983597991
SLTM	0.983596257
TAF1L	0.983578492
NPR2	0.983505055
UBR2	0.983317778
ZEB2	0.983279743
MYO1E	0.983256574
MYO9A	0.983214407
MYH9	0.983143063
TRERF1	0.983130517
DDX23	0.982959541
FAT1	0.982713926
C10orf12	0.982635673
PHIP	0.982625471
PITPNM2	0.982522419
JAG1	0.982484866
ITGA5	0.98243719
ZC3H13	0.982421651
EP400	0.982147706
STIL	0.982142032
SEC16A	0.982079012
UBE3C	0.982044664
AFF4	0.981999131
YTHDC1	0.981640113
UBR3	0.981619756
ARHGAP35	0.981614191
HDAC9	0.981252551
MAP3K13	0.980984936
RASA1	0.980625601
SIPA1L2	0.980571886
TET3	0.980535183
ZBTB38	0.98032731
PPFIA2	0.980247579
AHDC1	0.980243662
INTS3	0.98018906
FGD5	0.980115807
PLXNA2	0.980073421
MYO9B	0.980040769
PREX1	0.979846622
ABCC9	0.979648912
MAML2	0.979591496
SUGP2	0.979466951
EIF2AK3	0.979403614
BMPR2	0.979369308
UBE4A	0.979341496
MAST2	0.979245451
SLC12A2	0.979172261
ZCCHC6	0.979153577
TSC1	0.979143162
EPB41L3	0.979036869
CAND1	0.978859831
DENND4A	0.978848186
MAGI3	0.978679609
ATR	0.97847392
BDP1	0.97839533
NOL6	0.978378927
ARID1B	0.978273069
ZNF532	0.978187534
ASXL3	0.977910965
LTN1	0.977822448
UBAP2L	0.97775392
PHF20L1	0.97772162
RREB1	0.977513027
SHROOM3	0.977276156
IQGAP1	0.977238851
SYMPK	0.97710456
RAB3GAP2	0.977060007
CAMSAP1	0.976981714
TRHDE	0.976949527
MYT1L	0.976828526
AKAP9	0.976815264
IPO11	0.976787161
SPTBN2	0.976741542
OTUD4	0.976463232
TRIM33	0.976405178
HIP1	0.976341181
TDRD1	0.976189925
FNDC1	0.976000163
TRIM24	0.975930073
R3HDM1	0.975700411
UBN2	0.97565357
CNTN1	0.975577356
COL1A2	0.975502846
PKP4	0.975501924
XPO6	0.975431506
KIAA1244	0.975399588
HNRNPUL1	0.975367704
PUM2	0.975232854
PCDH1	0.975224908
CACNA2D3	0.975081362
PTPRG	0.974983325
NEDD4L	0.974804736
RB1	0.9747139
KIDINS220	0.974687124
PPP1R9A	0.974567957
RBM25	0.97448383
USP48	0.974266246
PPP1R12A	0.974231689
ARHGAP31	0.974126289
FAM193A	0.97408167
SLC4A10	0.97397428
PCDH9	0.97395962
SKIV2L2	0.973786001
SRCIN1	0.973612096
UBN1	0.973565203
CWC22	0.973496794
AP3B1	0.973427577
CLSPN	0.973310509
NCOA2	0.973074761
ACAN	0.97297813
CNTN4	0.972975868
ZNF445	0.972789519
ZBED4	0.972766515
PLXNA4	0.97250635
ARID5B	0.972462177
MAP3K1	0.972455106
XRN1	0.972142661
ZZZ3	0.972098581
USP42	0.972096188
Mar-06	0.972061456
AKAP11	0.971904635
AMOTL1	0.971881637
FAM135A	0.971862139
NCOA7	0.971827339
CACNA2D2	0.971763272
MARK1	0.971760754
MED1	0.971722799
IPO9	0.97168226
PHC3	0.971657681
MCF2L	0.971147962
SORBS2	0.971048197
RAD54L2	0.970891691
BCAS3	0.970654698
PLEKHA5	0.970625811
ZC3H4	0.970444386
DDB1	0.970359369
RET	0.970349085
NLRP3	0.970176145
CUX2	0.97017581
OSBPL6	0.970092674
GLG1	0.969799431
YLPM1	0.969777972
SOGA1	0.969601707
ARID4A	0.969532823
FAM160A2	0.969529174
KCNQ5	0.969211561
PTPN14	0.968876554
SREBF2	0.968804366
RBL2	0.96858036
ATAD2	0.968498052
LATS2	0.968418203
SLC9C2	0.968264061
SORBS1	0.968228687
AP1G1	0.968049714
SZT2	0.968031489
DHX38	0.967429765
BMP1	0.967315711
PPP4R1	0.967297804
DAPK1	0.966990347
DIP2B	0.966978916
SMURF2	0.966679871
TCEB3	0.966662709
CRAMP1L	0.966619398
PARP8	0.966582835
RBM5	0.966491059
TENC1	0.966379398
ANKS1A	0.966123432
AKAP13	0.965662322
PTK2B	0.965647962
GOLGA5	0.965614312
DHX15	0.965477025
CTNND1	0.965349095
FLNB	0.965243295
PRPF6	0.96513606
GOLGA2	0.965088843
SCN4A	0.965035965
SMARCAD1	0.964910048
KIAA0355	0.964796818
ZC3H7A	0.964759046
CLIP2	0.964550153
EPHA7	0.964355557
DOT1L	0.96409595
PLEKHA6	0.964024139
SLC12A5	0.963982646
CHRD	0.963948262
WWP1	0.963738338
HIRA	0.963608359
XPO5	0.963429886
TLK2	0.963207286
SCAF4	0.963113047
ATP1A1	0.963009836
ATP2A3	0.962838055
PSD3	0.962551856
TP53BP2	0.962441886
ZNF217	0.9623616
CTNNA2	0.96231793
FOXP2	0.962287888
JHDM1D	0.962175626
SCN2A	0.962096586
HNRNPUL2	0.962041891
COPB1	0.96167633
GRIK3	0.961524212
MDGA2	0.961506028
PHF2	0.961342173
AGAP1	0.961232348
CUL1	0.961174876
MYOCD	0.961145989
PTK7	0.961105535
HDAC4	0.960588098
SAFB2	0.960419047
ARHGAP29	0.960273538
AP3B2	0.960116359
PDZD2	0.959817778
BCL9L	0.959703388
ATF7IP	0.959152908
RNF111	0.959139848
DCTN1	0.959137353
NCAN	0.959107777
RGS12	0.958854655
NFATC2	0.958766795
PARP14	0.958671808
CTR9	0.958619465
HERC4	0.958136285
SPECC1L	0.95803487
REXO1	0.957995998
IKBKB	0.957929199
SCUBE1	0.957922074
PSMD1	0.957887972
PIK3CD	0.957750888
PRICKLE2	0.957736066
RABEP1	0.95759067
LENG8	0.957309981
ZMYM4	0.957215512
EPHA8	0.957036327
HSPA4	0.957021611
DNAJC6	0.95676962
SLMAP	0.956217205
FLT1	0.955549083
UNC13C	0.955401156
SCN3A	0.955400569
SULF1	0.955005731
SLC9A2	0.954874086
CSE1L	0.954802327
THRAP3	0.954478555
INPP4A	0.954215836
SMC6	0.954049883
CACNA1B	0.953588151
PRPF3	0.953583378
ABCB11	0.953395317
KDM1A	0.953064581
COPB2	0.952913476
MAP3K12	0.95278845
CCDC80	0.952331057
PPP6R3	0.952299869
C11orf30	0.952260646
SAFB	0.952242647
ROBO1	0.952220789
CFH	0.952127991
REV1	0.951653982
KIAA1468	0.951485346
ZNF280D	0.951130988
BRPF1	0.951078784
DMXL1	0.95100527
HIP1R	0.950986565
AGTPBP1	0.950975842
TCOF1	0.950848149
HNRNPU	0.950843964
MLLT6	0.95040723
ZC3H7B	0.950360562
GRIK5	0.950288145
MAP4	0.950203408
KIF18A	0.949992484
KIF13B	0.949898966
SEC31A	0.949764322
ZHX3	0.949581329
XAB2	0.949448207
ADAMTS9	0.949384574
GRM4	0.949063065
HEG1	0.949043314
CDC42BPA	0.949014203
WAPAL	0.949001984
KCNH4	0.948844992
COL6A1	0.948828504
DNMT1	0.948801215
PTPRB	0.948615292
VAV1	0.948446512
NFRKB	0.948338429
LRP12	0.948316181
RNF31	0.948282621
BTBD7	0.948212977
PSMD2	0.947896192
MECOM	0.947563528
CSF1R	0.947365545
CELSR1	0.94721016
IL6ST	0.947029982
SPTY2D1	0.946877623
NPAS3	0.946839124
GTF2IRD1	0.946505367
SEMA3D	0.946489924
MYO1F	0.946441878
IWS1	0.945937374
GRM3	0.945929485
HACE1	0.94591597
TTC7B	0.945811533
DENND5A	0.94571734
TNPO1	0.945218053
SCN8A	0.945178079
PRKD3	0.945155976
ANKS1B	0.945130745
ADAMTS5	0.944993667
TOPORS	0.944914229
ULK1	0.944809009
KPNB1	0.944718128
BAZ1A	0.944381024
RFX1	0.944312709
ZNF512B	0.944189389
SATB1	0.944061422
DLGAP4	0.944039667
NEDD9	0.943744071
SEMA3A	0.943639005
MDGA1	0.943618938
CC2D1A	0.9435332
GOLGA3	0.943469066
DDR2	0.943438855
MED15	0.94327213
SEMA6A	0.943104364
USP25	0.94284327
EPHB2	0.942687302
EHMT2	0.942464703
HIPK1	0.942281509
ROBO2	0.941852414
RBM15	0.941814427
PITPNM3	0.941761051
PTPN23	0.941651628
ABCA12	0.941561328
TNKS	0.941519819
FAM13B	0.94151441
FGFR2	0.941447599
NCOR2	0.941214767
KIAA0368	0.941181783
EML3	0.941044838
JAKMIP1	0.940851771
SFSWAP	0.940763366
CACNA1D	0.94058879
VCP	0.940582603
ZNF574	0.940524065
FER	0.940467946
PAN3	0.940411421
TONSL	0.940359054
RASAL2	0.940144649
PLCE1	0.940134357
ATP2C1	0.940099581
SCN5A	0.939333108
CYLD	0.939125648
AMBRA1	0.938949958
NOS3	0.938878973
COL16A1	0.938434892
IMMT	0.938017352
CUL9	0.937945531
ADCY9	0.937924422
AKAP1	0.937853283
EPB41L5	0.937832669
PLCH1	0.937777285
AXIN1	0.937673843
KIAA1429	0.937575534
AMOTL2	0.937559416
PHF17	0.937461013
ZNF628	0.937387942
LAMC1	0.937151032
AGAP2	0.937120985
USP5	0.93698977
APP	0.936985952
UBE3A	0.93698526
GRID1	0.936760385
LARP4	0.936584038
TAF4B	0.936469009
GGNBP2	0.936413357
ST5	0.936107864
TRIM71	0.935914654
DCAF6	0.935784244
UHRF2	0.935502572
ITGA1	0.935494063
SLC8A1	0.935451937
MTMR4	0.935095354
RPH3A	0.935066067
PPFIA3	0.935010907
EPRS	0.934929638
SLITRK5	0.93484475
NAA15	0.934703749
SYNPO	0.934650249
NPAS2	0.934645812
ACTN2	0.934525418
CSDE1	0.934510147
NUP214	0.934446835
FCHSD2	0.9343814
LONP1	0.934273389
LRP4	0.934157832
RASGRP1	0.933771807
AUTS2	0.933443993
PDCD6IP	0.933390273
PTK2	0.933353036
BZRAP1	0.932788867
COL3A1	0.93278339
CHAF1A	0.932684705
PTPRC	0.932524528
ZC3H14	0.932454842
ERBB2IP	0.932161096
AFTPH	0.932119336
SMEK1	0.93189913
RBM26	0.931841623
NOS1	0.931765428
QRICH1	0.931679323
DNM1	0.931555583
TPX2	0.931547034
NCBP1	0.931504691
ATP6V0A1	0.931443829
DAAM1	0.931252942
AP2B1	0.931214805
NFKB1	0.931142661
ABCC5	0.930814851
URGCP	0.930590847
PTPRE	0.930480523
ZFPM2	0.930449087
GPR116	0.930346082
SMURF1	0.93030016
ERC2	0.929959708
CDH4	0.92993561
GPR126	0.929771539
INCENP	0.929699227
KEL	0.929588246
KCNB1	0.929526198
UBTF	0.92909304
MAST3	0.928979414
SCAF11	0.928635814
HOOK3	0.928634613
DLG4	0.928461151
PRR12	0.928241999
ADCY8	0.928224798
LRRC8D	0.927958761
KIFC2	0.927806895
RHBDF2	0.927746254
FAM65B	0.927632206
CTNNB1	0.927455459
RSBN1L	0.927421448
RC3H1	0.927361012
XPR1	0.927175938
USP10	0.927161628
SEC63	0.927025629
GAK	0.926928299
NFATC3	0.926560916
LRRC41	0.926514179
EFTUD2	0.926165662
DYRK1A	0.925686382
FRMD4B	0.925670963
STT3B	0.925430685
CDH10	0.925314159
BRD2	0.925198593
ATP13A3	0.925173883
RAPGEF4	0.925083769
KDM4A	0.924496294
PTPRO	0.924378603
PTPRN	0.924233497
PPARGC1A	0.923918672
CACNA2D1	0.923659867
CLK2	0.923572589
NEFM	0.923447174
ZHX1	0.92329215
ACTN4	0.923102269
SOX5	0.922699963
DENND3	0.922470476
BRD1	0.922433436
ADAMTSL2	0.922411725
ATP2B4	0.921979547
CPEB4	0.921924622
RGL1	0.921807549
CLSTN3	0.921611706
STT3A	0.921518954
TAB2	0.921472311
RASIP1	0.921465895
PLCB1	0.921382631
CDH7	0.921345356
LARP1	0.92132872
FAM5C	0.921306383
EIF2B5	0.921103484
PRKCH	0.921026724
ELMO2	0.920873739
MTMR2	0.920783764
MAML3	0.920764692
AP1B1	0.920732423
STAT5A	0.920653542
ANO4	0.920558812
ESRP1	0.920044799
SYNJ1	0.919763574
THBS2	0.919725807
SLITRK1	0.919569995
MAP4K1	0.919509318
ARHGAP17	0.919481022
ATXN2	0.918948347
FBXO30	0.918801803
TGFBRAP1	0.91865084
GREB1	0.918625521
RIMS2	0.918560514
ADNP	0.918529788
ATP8B2	0.918401365
AGRN	0.918096571
ATP2B1	0.917913421
ADAM10	0.917851868
NSF	0.91782895
SORT1	0.917668828
CUL3	0.917560219
EZH2	0.917494349
ZNF281	0.917396809
GUCY1A2	0.917342336
LRP5	0.917280751
PDE2A	0.917069574
SLC4A1	0.916731118
CCAR1	0.91658128
RBM39	0.916476136
NEFH	0.916457972
KIF5A	0.91641194
LIN54	0.916276987
RANBP9	0.916272454
PTPRF	0.916099289
SRGAP3	0.916052826
PROX1	0.916047802
ATG2A	0.915808099
ARNT	0.915744942
EIF3B	0.915599466
SEL1L3	0.915423423
MARK2	0.915413861
PTPN4	0.915351479
STAT3	0.915259408
ABL1	0.915081644
SSH2	0.915003594
SMEK2	0.914806741
LARP4B	0.914766416
EIF4B	0.914564651
HSP90B1	0.914517081
FHOD3	0.914496689
SEMA4D	0.91440599
MYLK	0.914134045
PRKD2	0.914122935
MON2	0.914070965
MGAT5	0.914010221
NAA25	0.914001177
SF3A1	0.913924606
FAM160B1	0.913745919
KIAA2018	0.913692767
LUC7L3	0.913625616
MYH7	0.913553557
TNPO2	0.913357775
GARS	0.913122307
JAK1	0.912820807
UNK	0.912665286
SESTD1	0.91255944
FOXP1	0.912070887
FNBP4	0.911868124
KDM3A	0.911590681
RHOBTB1	0.911567201
RFX4	0.911150205
NLGN1	0.911058995
SMC1B	0.910994845
MTUS2	0.91099074
SETBP1	0.910920321
ATRNL1	0.910745325
PKD2	0.910616307
DGCR8	0.910597033
ZCCHC14	0.910501591
C17orf104	0.910477798
GRIP1	0.910445154
TRIM46	0.910401288
UNC5A	0.910331504
CASR	0.910303733
SPECC1	0.910226763
MET	0.910187377
FAM5B	0.910171696
NRXN2	0.909757197
KIF3C	0.909750603
CDH12	0.909738141
TRPM3	0.909669293
ELMO1	0.909513466
PLCB3	0.909213465
LEO1	0.909192361
TEX10	0.909024552
ITGA6	0.908927418
ITGAV	0.908739852
C10orf118	0.908565146
ZNF236	0.90820142
WDR48	0.908018938
ARMC8	0.907378595
MIA3	0.907083113
NCSTN	0.907032808
NCAM2	0.906904711
FGFR1	0.906846386
REPS1	0.906759963
EIF4ENIF1	0.906748969
MYBL1	0.906532335
FAM83G	0.906503361
KCNQ2	0.906480277
KEAP1	0.906358562
CDC73	0.906298869
FURIN	0.906242267
SP3	0.90622237
BRPF3	0.906043944
N4BP1	0.90592761
MYO6	0.905880238
ANKIB1	0.905800849
NCL	0.905792405
ATG9A	0.905675107
MFN2	0.905298343
COL4A3BP	0.90509294
ACLY	0.90501018
DBC1	0.904948757
RAPGEF1	0.904773036
RDX	0.904702237
GTF3C4	0.904199304
IPO5	0.904111953
GRAMD1B	0.90407569
PIK3AP1	0.904057855
USP15	0.903960258
DPP10	0.903810643
SRPK2	0.903614779
PTPRA	0.903593603
GON4L	0.903480137
BNC2	0.903441736
EPHA4	0.903425925
SORCS3	0.903425014
PIKFYVE	0.903221481
TRPC4	0.903122764
GTF2I	0.903016375
BACH2	0.902795799
ZMYND11	0.902707613
SLIT1	0.902579701
F2	0.902562193
ZDHHC5	0.902259429
KLHL11	0.902185145
AFAP1	0.902010625
MGAT5B	0.901524257
LPHN3	0.901498582
ZNF536	0.90141729
ACSL3	0.901187019
TMEM63B	0.901012099
GNL1	0.900992889
RAPGEF5	0.900696152
ADCY5	0.900581462
RALGAPB	0.900375636
STAT1	0.899954252
PACS2	0.899813779
GRHL2	0.899662789
ZNF423	0.899448619
VPS18	0.899275858
XPO1	0.899021646
LARGE	0.898972215
DOCK3	0.898766081
ITGB1	0.898712166
CCDC136	0.898668496
XKR6	0.898418959
PHLPP1	0.898349529
XRCC5	0.898118861
KBTBD2	0.897586867
INTS8	0.897537639
RPS6KA5	0.897388776
ZYG11B	0.897331564
MAP4K2	0.897212738
CHAMP1	0.897206575
RBM12	0.896988798
GRM5	0.896802945
ENOX1	0.896466381
OSBPL11	0.896398706
MYT1	0.896143614
CNTN2	0.896067104
PDE4D	0.896044709
DYNC1I1	0.895955714
PPP6R1	0.89594765
PTPRU	0.895898315
SP1	0.895563632
MBD1	0.895132879
FCHO2	0.894975529
SPIRE1	0.894386155
USP43	0.894266508
BCL6	0.894151184
ABLIM2	0.894092195
SGSM1	0.893933422
EPHB6	0.893606687
PDGFRB	0.893521558
SLC9A3	0.89347648
DDX42	0.893253554
SENP5	0.893246003
ABCE1	0.89324007
ZNF148	0.893182142
MAGI2	0.893118255
KRI1	0.893040434
CACNA1G	0.892926444
EPHA6	0.892891856
TAGAP	0.892867178
RABGAP1	0.892835855
SATB2	0.892816484
SEMA6D	0.892751766
KCND2	0.892603378
ATXN7	0.892425643
ATP2B2	0.892143086
MAP3K3	0.892103182
MYBPC1	0.892051707
L3MBTL3	0.891939455
SYNGAP1	0.891676971
SUPT5H	0.89149799
RALGDS	0.891261392
STIP1	0.891185455
ITPR2	0.8908716
CPSF6	0.890847482
PHLDB1	0.890754275
ADAMTS10	0.890743798
CNNM1	0.890341549
DAXX	0.889917279
NPAS4	0.889886859
PHLPP2	0.889875233
IPO7	0.889809474
TCERG1	0.889808264
CLIP1	0.889683076
ZSCAN20	0.889424407
GTPBP4	0.888896415
ZEB1	0.888857768
CRTC2	0.88880564
CASS4	0.888766652
SAMD4B	0.88859029
POU2F1	0.888390516
CNOT10	0.88791525
ZNFX1	0.887583371
KAT7	0.887531488
ADCY3	0.887466129
CLK3	0.887465218
PXDN	0.886926265
DCC	0.886866621
SLC45A1	0.886772758
DNAJC2	0.886755188
HECW2	0.886753953
IGSF8	0.886661285
KIF11	0.886614543
CNOT3	0.886543855
TLE4	0.885313991
NUP155	0.884881398
NUAK1	0.884749673
SSRP1	0.883950735
CDH20	0.883790538
EPC1	0.883666587
CADPS	0.883532778
SART3	0.883472209
JMY	0.883166664
SRRM4	0.883132274
SEC24C	0.882968979
HDAC5	0.882802335
NUP188	0.882673862
PPARGC1B	0.882437783
GRIN3A	0.882252242
WAC	0.882199261
USP49	0.882040373
TAOK3	0.881945179
COL2A1	0.881862424
SLK	0.881858579
IREB2	0.881760076
CLPX	0.88169288
KIRREL3	0.881635308
ATF6B	0.88143215
SENP2	0.881416955
TMEM57	0.881365743
EPHB4	0.881222651
ACO2	0.881146803
EDC4	0.88097045
ATXN2L	0.880774311
AP4E1	0.880773577
PLEKHG2	0.880560173
CMIP	0.880495833
RAF1	0.880488292
RPS6KC1	0.880259642
SLC39A10	0.879930081
CTCF	0.879520588
USP2	0.879414694
SCUBE3	0.879125798
ZBTB1	0.878833987
SV2B	0.878805525
BMS1	0.87859111
MTA1	0.878578004
ADRBK1	0.878555696
SMARCD2	0.878285337
ABCF2	0.8781708
HPS5	0.87793737
MAN1A2	0.877724528
ZC3H6	0.877528962
SMARCA2	0.877347501
TESK1	0.877339797
ACHE	0.877272926
PKN2	0.877001511
PAPPA2	0.876967266
NR3C2	0.87684195
TRIM23	0.876633029
EGFLAM	0.876514523
WDR43	0.876472073
HELLS	0.87643398
NLGN2	0.876341501
SLC7A14	0.876219624
XKR4	0.87605689
SYT16	0.876047538
SNX13	0.876039851
TIPARP	0.875466192
HDC	0.875275517
PCSK2	0.874865234
MFHAS1	0.87484922
DLGAP1	0.87473797
ITK	0.874704242
RPA1	0.874293262
REST	0.874233387
ATP2A2	0.874151455
RICTOR	0.874001992
ZFYVE28	0.873931336
SNRK	0.873586744
SALL4	0.873465127
ARHGEF7	0.873333265
TAOK1	0.873283271
UNC13B	0.87289669
MTMR9	0.872852483
ARAP1	0.872826043
VPS45	0.872750901
KIF3A	0.872520576
