gene	s_het
FGFR2	0.238511
ILKAP	0.238434
SNRPD3	0.238411
AGPAT3	0.238407
CAND1	0.23832
SERTAD2	0.238241
QKI	0.238213
APOOL	0.238209
FANCB	0.238063
CREB1	0.238004
PACS1	0.237662
SEPT8	0.237598
ARMCX2	0.237429
SMAD7	0.23729
SNRPG	0.237227
MBD5	0.237217
PBDC1	0.237185
DKFZP761J1410	0.237132
PEG10	0.236995
NAB2	0.236955
EIF5A	0.236923
BTBD2	0.236848
AKAP4	0.23684
TFAP2B	0.236705
CBLN1	0.236643
NSD1	0.236632
ETS2	0.236558
GRPEL1	0.236532
MGAT5	0.236521
LEF1	0.236509
MESDC2	0.236478
FAM160A2	0.236459
DCUN1D1	0.236153
TMEM108	0.236139
TRPS1	0.23601
WARS	0.235991
FAM120A	0.235987
TAL1	0.235872
CAMK1D	0.235787
SPOP	0.235778
PHOX2B	0.235674
NXPH3	0.235617
VAMP2	0.23561
LPAR3	0.235089
CCNJ	0.235021
CASKIN1	0.235017
PTMS	0.235012
SOX9	0.234858
CSNK1A1	0.234829
GLA	0.234816
CADM1	0.234758
RELL1	0.234745
POU3F4	0.234685
RNF111	0.234672
FXN	0.234528
SAE1	0.234386
KLHDC3	0.23433
EEF1A1	0.234061
FNIP2	0.233931
OR2T34	0.233911
DUSP3	0.233858
SKI	0.233766
POFUT1	0.233705
HOXA5	0.233697
SOX2	0.233653
RPL3	0.233612
PRPS1	0.233609
PPAPDC3	0.233574
H2AFJ	0.233539
RAB18	0.233263
IRF2BP1	0.233115
RPL27A	0.233087
HNRNPA3	0.233059
UBE2E1	0.233054
R3HDM2	0.233043
DYRK2	0.232983
FOXO1	0.232827
KCNH3	0.232702
ZGLP1	0.232677
JPH3	0.23253
SHOC2	0.232436
B4GALT5	0.232396
ARHGAP36	0.232363
FGF4	0.232355
NEUROG2	0.23234
SGTB	0.232243
RNF144A	0.232225
POU5F1	0.232167
HNRNPU	0.232021
STIP1	0.231816
TNRC6B	0.231791
GNB2L1	0.231743
DACH1	0.231549
SF3A3	0.231511
WIPF1	0.231447
ARHGAP44	0.231385
CLIP2	0.231315
KRTAP4-12	0.231206
VWC2	0.231202
TBX1	0.231093
ZFX	0.230932
SPIN4	0.230896
UBTD2	0.230827
GRIA1	0.230799
GNL3L	0.230774
AZIN1	0.230769
PITPNM3	0.230768
NFIX	0.230739
CSNK1D	0.230681
MAP2K1	0.230667
GPR6	0.23065
MOB1A	0.230618
TOMM5	0.230508
PITPNB	0.230504
MDH1	0.230463
TUBB3	0.230439
ZC4H2	0.23043
ZCCHC24	0.23039
H2AFZ	0.230308
ALOX5AP	0.230307
RPS15A	0.230301
STK40	0.230282
ARPC5L	0.230198
GNB2	0.230103
EFNB1	0.230084
PAIP2	0.230066
GRHL2	0.229954
PPP6C	0.229847
CBX5	0.229785
TIMM9	0.229763
IFNA1	0.229722
OSR1	0.229596
MCTS1	0.229451
KCNMB4	0.229426
EDNRA	0.229348
ZBTB18	0.229327
PAPOLA	0.22929
FCGR1A	0.229272
KSR2	0.229241
OR10J5	0.2292
RPL31	0.229193
CXCL13	0.22903
ANKRD34A	0.228786
SNCA	0.228406
SMG1	0.228396
CXXC5	0.22839
PPP3R1	0.228255
RPL27	0.228228
PDCD10	0.22821
TSPAN7	0.228001
IP6K2	0.22792
DNM2	0.227916
YBX1	0.227899
GMEB2	0.227646
CLCN4	0.227611
NCALD	0.227606
MLLT1	0.227559
LIF	0.227485
SUMO2	0.227459
AGPAT1	0.227259
RIBC1	0.227191
ABHD8	0.227186
PCF11	0.227173
DYNLRB1	0.227147
CDK5R1	0.22709
FUNDC2	0.227073
LBX1	0.227054
MAGEA12	0.227042
SOX14	0.226993
PCBP1	0.226895
GRIN2D	0.226886
PODXL2	0.226875
SF3B4	0.22685
TTL	0.22684
PPP2CA	0.226754
DTYMK	0.22668
ZNF827	0.226673
TSSK3	0.226668
ARF1	0.226604
SMAD5	0.22659
PPP4R2	0.226544
UXT	0.226513
CNOT7	0.226511
ARPC2	0.226255
MDGA2	0.226218
DUSP9	0.226214
BMP4	0.226196
TGFB2	0.226136
CACNA1I	0.225894
ZFC3H1	0.22584
U2AF1	0.225788
ARID2	0.225705
EGLN1	0.225662
MOSPD2	0.225386
NFKBIA	0.225386
COX5B	0.225346
CYC1	0.225306
NPTN	0.225003
