gene	pDN	DN_pctl	pGOF	GOF_pctl	pLOF	LOF_pctl
ABCA8	0.606088	0.633243	0.621179	0.474392	0.323581	0.586202
ABCA9	0.64099	0.533759	0.700003	0.283968	0.272867	0.747164
ABCB1	0.824865	0.070415	0.805643	0.082593	0.214435	0.891677
ABCB10	0.790508	0.11559	0.722855	0.230052	0.305726	0.644046
ABCB11	0.828427	0.066143	0.811301	0.076062	0.189918	0.934643
ABCB4	0.860025	0.038497	0.832594	0.051412	0.173105	0.957476
ABCB5	0.750988	0.197201	0.738967	0.1945	0.289723	0.695851
ABCB6	0.777433	0.13916	0.712178	0.255586	0.288587	0.698797
ABCB7	0.516426	0.799853	0.533609	0.65809	0.65168	0.118242
ABCB8	0.761341	0.171962	0.698695	0.287552	0.340557	0.531205
ABCB9	0.754375	0.189197	0.800385	0.089958	0.254397	0.800786
ABCC1	0.761336	0.172011	0.779505	0.118291	0.219607	0.880727
ABCC10	0.622748	0.586742	0.694851	0.296931	0.356047	0.488043
ABCC11	0.723754	0.277142	0.688655	0.311564	0.295851	0.676258
ABCC12	0.71442	0.303315	0.732055	0.208348	0.305416	0.644783
ABCC2	0.741844	0.222391	0.672856	0.351043	0.287333	0.702185
ABCC3	0.777829	0.138227	0.745274	0.181635	0.233087	0.853671
ABCC4	0.76405	0.166167	0.729158	0.213798	0.251147	0.809821
ABCC5	0.711152	0.311711	0.737907	0.196514	0.288091	0.700074
ABCC6	0.724171	0.275669	0.734403	0.203781	0.2838	0.713135
ABCC8	0.777345	0.139259	0.803492	0.085735	0.219102	0.882151
ABCC9	0.750738	0.197938	0.78185	0.114559	0.236201	0.846992
ABCD1	0.46428	0.853327	0.56964	0.587724	0.605104	0.15011
ABCD2	0.805121	0.09423	0.708937	0.263491	0.247346	0.819642
ABCD3	0.784088	0.126148	0.705974	0.270071	0.261695	0.781439
ABCD4	0.796667	0.105721	0.762096	0.15016	0.20212	0.913872
ABCE1	0.432517	0.880236	0.397202	0.853572	0.662195	0.112055
ABCF1	0.69644	0.355512	0.531819	0.661625	0.302082	0.655242
ABCF2	0.673989	0.429069	0.57298	0.5808	0.304956	0.6466
ABCF3	0.73101	0.25588	0.621773	0.472674	0.260548	0.784434
ABCG1	0.761728	0.171372	0.776288	0.123742	0.212313	0.895654
ABCG2	0.741636	0.222735	0.770018	0.134741	0.251201	0.809526
ABCG4	0.767605	0.158311	0.840833	0.043064	0.179773	0.948981
ABCG5	0.700267	0.343874	0.790022	0.103707	0.252908	0.805058
ABCG8	0.684606	0.392831	0.751228	0.169359	0.28492	0.709747
ABHD1	0.601379	0.644635	0.554657	0.615468	0.264643	0.773238
ABHD10	0.646848	0.515541	0.527277	0.669384	0.327639	0.5726
ABHD11	0.786883	0.121827	0.561422	0.603094	0.220313	0.879106
ABHD12	0.691605	0.370931	0.58349	0.558605	0.264956	0.772109
ABHD12B	0.637216	0.545004	0.522903	0.677388	0.334145	0.550552
ABHD13	0.440387	0.873656	0.436723	0.806334	0.548537	0.188804
ABHD14A	0.617414	0.601375	0.59242	0.539406	0.329198	0.567935
ABHD14B	0.677135	0.418709	0.552649	0.62028	0.254679	0.800196
ABHD15	0.49455	0.824552	0.556001	0.612865	0.396753	0.383698
ABHD16A	0.454477	0.86084	0.49522	0.72217	0.472989	0.257059
ABHD16B	0.649362	0.507096	0.621143	0.47454	0.294082	0.682003
ABHD17A	0.667819	0.449006	0.708237	0.265161	0.285461	0.708225
ABHD17B	0.540165	0.766658	0.555922	0.613013	0.397682	0.381291
ABHD17C	0.32211	0.95669	0.493853	0.724871	0.633081	0.13204
ABHD18	0.604617	0.637172	0.506039	0.704886	0.356859	0.485637
ABHD2	0.396983	0.906948	0.507646	0.701596	0.468365	0.26246
ABHD3	0.534737	0.775448	0.553882	0.617383	0.326152	0.577314
ABHD4	0.673529	0.431034	0.565215	0.596808	0.315435	0.611343
ABHD5	0.657928	0.481562	0.559847	0.605696	0.300873	0.658876
ABHD6	0.654246	0.493297	0.596774	0.52875	0.30726	0.639087
ABHD8	0.359435	0.93425	0.550955	0.623864	0.629759	0.134054
ABI1	0.546392	0.75674	0.615921	0.487012	0.650391	0.119126
ABI2	0.562511	0.727965	0.605362	0.511073	0.549509	0.18797
ABI3	0.728715	0.262215	0.666236	0.368574	0.343183	0.523594
ABI3BP	0.683642	0.39671	0.465929	0.768132	0.384962	0.410017
ABITRAM	0.606223	0.632654	0.270589	0.956003	0.426249	0.321778
ABL1	0.4475	0.867763	0.549764	0.625436	0.725096	0.07179
ABL2	0.723885	0.276848	0.702436	0.277977	0.389497	0.399509
ABLIM1	0.638345	0.541714	0.639227	0.431426	0.652954	0.117555
ABLIM2	0.775952	0.141566	0.741701	0.188706	0.378943	0.425436
ABLIM3	0.721224	0.284213	0.624235	0.466192	0.425162	0.323742
ABO	0.616751	0.603044	0.594541	0.534397	0.351529	0.499975
ABR	0.533852	0.776823	0.612156	0.496145	0.509686	0.220673
ABRA	0.611569	0.618218	0.631062	0.450479	0.368533	0.455045
ABRACL	0.696776	0.354235	0.601757	0.519224	0.341954	0.526737
ABRAXAS1	0.608142	0.627498	0.413185	0.835797	0.41796	0.337589
ABRAXAS2	0.542465	0.763221	0.333421	0.914068	0.514705	0.216548
ABT1	0.771241	0.150602	0.629017	0.455635	0.274788	0.740388
ABTB1	0.673218	0.432261	0.73006	0.212178	0.27274	0.747508
ABTB2	0.553559	0.744022	0.58994	0.545347	0.420661	0.331697
ABTB3	0.532769	0.778198	0.540862	0.642868	0.571116	0.172698
ACAA1	0.719471	0.289271	0.59408	0.535232	0.404263	0.366708
ACAA2	0.719574	0.289074	0.608168	0.504984	0.450783	0.283575
ACACA	0.433981	0.879106	0.345435	0.904886	0.609564	0.147115
ACACB	0.630066	0.566118	0.53757	0.649693	0.388725	0.401375
ACAD10	0.646877	0.515345	0.622906	0.469629	0.397944	0.380309
ACAD11	0.762247	0.170145	0.61686	0.484311	0.26519	0.771274
ACAD8	0.704512	0.331402	0.691317	0.30518	0.356066	0.487896
ACAD9	0.773761	0.145544	0.696154	0.29369	0.222192	0.875473
ACADL	0.725511	0.271937	0.685862	0.317997	0.320338	0.597299
ACADM	0.730994	0.256077	0.689694	0.308814	0.342241	0.526
ACADS	0.815488	0.080481	0.756533	0.159588	0.229005	0.861183
ACADSB	0.709614	0.316376	0.707815	0.265946	0.314918	0.613405
ACADVL	0.692158	0.369752	0.644255	0.420182	0.300482	0.660201
ACAN	0.50717	0.810656	0.510583	0.69644	0.531705	0.202553
ACAP1	0.693614	0.365284	0.755445	0.161453	0.299702	0.662706
ACAP2	0.43262	0.880137	0.502205	0.711466	0.62118	0.138964
ACAP3	0.672253	0.435207	0.757693	0.157329	0.310955	0.626712
ACAT1	0.762371	0.169752	0.593615	0.536558	0.3942	0.389197
ACAT2	0.741138	0.224797	0.625327	0.46413	0.356321	0.487258
ACBD3	0.578677	0.695261	0.635216	0.440658	0.329837	0.56548
ACBD4	0.73832	0.234913	0.694906	0.296538	0.199831	0.918635
ACBD5	0.688061	0.382617	0.530403	0.664179	0.303198	0.651657
ACBD6	0.585679	0.679696	0.605125	0.511368	0.262271	0.779966
ACBD7	0.66543	0.457893	0.653718	0.398625	0.165728	0.965333
ACCS	0.74063	0.227056	0.620006	0.47724	0.230917	0.857501
ACCSL	0.655746	0.488976	0.550799	0.62411	0.346028	0.515738
ACD	0.466564	0.851215	0.471895	0.759882	0.430666	0.313037
ACE	0.613282	0.612816	0.690578	0.306997	0.302405	0.654162
ACE2	0.497391	0.821311	0.576111	0.573386	0.432372	0.310926
ACER1	0.740866	0.225927	0.660514	0.382814	0.205676	0.907243
ACER2	0.7759	0.141616	0.702134	0.278713	0.21039	0.898748
ACER3	0.692763	0.367542	0.60585	0.509845	0.319254	0.600295
ACHE	0.447194	0.868009	0.656849	0.3918	0.457452	0.274392
ACIN1	0.164975	0.998085	0.195929	0.986791	0.863178	0.00766
ACKR1	0.760865	0.173288	0.746585	0.178787	0.248758	0.815811
ACKR2	0.810412	0.087749	0.765664	0.143825	0.194345	0.927866
ACKR3	0.716184	0.297864	0.788677	0.10518	0.284257	0.711711
ACKR4	0.74781	0.205942	0.698991	0.28657	0.242101	0.8329
ACLY	0.669852	0.442966	0.579933	0.565382	0.343234	0.523251
ACMSD	0.720996	0.284999	0.696721	0.292119	0.289411	0.696391
ACO1	0.632553	0.5589	0.582514	0.560668	0.392406	0.39342
ACO2	0.634952	0.551387	0.56075	0.604223	0.455698	0.276848
ACOD1	0.697062	0.353499	0.660788	0.382274	0.33616	0.544856
ACOT1	0.588046	0.674392	0.48521	0.739406	0.364562	0.465505
ACOT11	0.592949	0.662951	0.650414	0.406384	0.467895	0.262951
ACOT12	0.56535	0.722563	0.71481	0.249006	0.402112	0.371667
ACOT13	0.714471	0.303216	0.610021	0.500761	0.418481	0.336165
ACOT2	0.664791	0.460005	0.596339	0.530076	0.343431	0.522612
ACOT4	0.629031	0.569065	0.52651	0.671004	0.353824	0.493739
ACOT6	0.664878	0.459759	0.607521	0.506457	0.305256	0.645519
ACOT7	0.493886	0.825288	0.604989	0.511662	0.645347	0.122711
ACOT7L	0.593667	0.661429	0.781036	0.115738	0.516186	0.215271
ACOT8	0.714847	0.302234	0.604307	0.513626	0.302239	0.654653
ACOT9	0.602535	0.641935	0.602858	0.517014	0.412649	0.347508
ACOX1	0.726925	0.267518	0.714996	0.24876	0.214962	0.890498
ACOX2	0.782048	0.130076	0.73932	0.193567	0.165924	0.965087
ACOX3	0.699223	0.347017	0.69311	0.300565	0.232545	0.854898
ACOXL	0.771136	0.150847	0.68836	0.312693	0.244196	0.82794
ACP1	0.67867	0.413651	0.511968	0.694378	0.276216	0.735183
ACP2	0.695268	0.359047	0.613842	0.491922	0.174159	0.956445
ACP3	0.657622	0.482544	0.517706	0.686423	0.249877	0.812816
ACP4	0.702196	0.337589	0.716254	0.24547	0.204901	0.908274
ACP5	0.691727	0.370685	0.618083	0.482053	0.271977	0.749914
ACP6	0.572434	0.707488	0.44493	0.795728	0.27897	0.726835
ACP7	0.641307	0.532384	0.584783	0.555856	0.375752	0.43452
ACR	0.695926	0.357132	0.648847	0.409477	0.312154	0.622293
ACRBP	0.564297	0.724429	0.537008	0.650675	0.280938	0.721287
ACRV1	0.683769	0.39617	0.549929	0.62519	0.332195	0.557574
ACSBG1	0.718816	0.290744	0.735223	0.20221	0.242256	0.832654
ACSBG2	0.770161	0.153253	0.668832	0.361552	0.239133	0.840118
ACSF2	0.709011	0.317997	0.61928	0.479008	0.328639	0.569654
ACSF3	0.576016	0.700368	0.538799	0.647385	0.45791	0.273754
ACSL1	0.68499	0.392094	0.633484	0.44493	0.301298	0.657648
ACSL3	0.676097	0.422048	0.572768	0.581193	0.337496	0.540633
ACSL4	0.411464	0.896685	0.471632	0.760177	0.634507	0.130862
ACSL5	0.786283	0.122269	0.721309	0.23452	0.206666	0.905426
ACSL6	0.759221	0.17697	0.707754	0.26629	0.245371	0.825485
ACSM1	0.714755	0.302676	0.531427	0.662165	0.365636	0.462755
ACSM2A	0.70028	0.343825	0.577473	0.570734	0.360395	0.476798
ACSM2B	0.699359	0.346624	0.605291	0.511171	0.355813	0.488583
ACSM3	0.762487	0.169359	0.558906	0.607857	0.346536	0.514068
ACSM4	0.70967	0.316278	0.545186	0.634913	0.396183	0.38463
ACSM5	0.673094	0.43285	0.598635	0.525411	0.401012	0.373926
ACSM6	0.691579	0.371029	0.562399	0.601473	0.349457	0.505279
ACSS1	0.722926	0.27891	0.648269	0.41041	0.307988	0.636533
ACSS2	0.677379	0.417825	0.638213	0.433833	0.321231	0.593862
ACSS3	0.692692	0.367788	0.616666	0.48495	0.375672	0.434716
ACTA1	0.808435	0.090056	0.604968	0.511711	0.323316	0.586987
ACTA2	0.566886	0.719126	0.341095	0.908667	0.673948	0.104051
ACTB	0.469502	0.847925	0.629776	0.453769	0.790348	0.036631
ACTBL2	0.74684	0.208691	0.3284	0.918438	0.432988	0.309944
ACTC1	0.695746	0.35782	0.497522	0.719077	0.526124	0.207071
ACTG1	0.700116	0.344414	0.532099	0.661036	0.305504	0.644586
ACTG2	0.818326	0.077044	0.595397	0.532237	0.322723	0.588804
ACTL10	0.736758	0.239185	0.654687	0.396415	0.277558	0.730616
ACTL6A	0.402556	0.903118	0.449938	0.788853	0.70684	0.082249
ACTL6B	0.736949	0.238547	0.676839	0.341124	0.331782	0.558949
ACTL7A	0.623915	0.583648	0.531779	0.661724	0.362805	0.470366
ACTL7B	0.585354	0.680383	0.534951	0.6548	0.358166	0.482986
ACTL8	0.498889	0.819494	0.406231	0.844341	0.391973	0.394697
ACTL9	0.72485	0.273656	0.609168	0.502922	0.299526	0.663197
ACTMAP	0.594654	0.659514	0.65877	0.387135	0.361691	0.473852
ACTN1	0.508532	0.808937	0.778519	0.119715	0.489498	0.238694
ACTN2	0.605067	0.635944	0.776094	0.124184	0.422219	0.32875
ACTN3	0.675796	0.423128	0.806457	0.081758	0.331802	0.558851
ACTN4	0.433589	0.879499	0.710401	0.259858	0.596792	0.155905
ACTR10	0.680193	0.408888	0.62719	0.459956	0.299012	0.664915
ACTR1A	0.450195	0.864719	0.440564	0.801326	0.634955	0.13042
ACTR1B	0.730876	0.256273	0.64767	0.412276	0.30226	0.654554
ACTR2	0.330981	0.951731	0.454876	0.782323	0.734049	0.067174
ACTR3	0.386903	0.91451	0.493615	0.725509	0.694479	0.090007
ACTR3B	0.488047	0.831476	0.476215	0.753057	0.634972	0.130322
ACTR3C	0.805925	0.093445	0.691684	0.304542	0.265333	0.770489
ACTR5	0.612777	0.614289	0.576231	0.573189	0.332132	0.55782
ACTR6	0.700882	0.34191	0.565598	0.595826	0.310115	0.62902
ACTR8	0.592035	0.665406	0.403467	0.847483	0.439442	0.300663
ACTRT1	0.695709	0.358016	0.439172	0.802995	0.268911	0.759588
ACTRT2	0.693958	0.36381	0.487694	0.735183	0.274637	0.740781
ACTRT3	0.701193	0.340977	0.485759	0.73862	0.333255	0.553842
ACVR1	0.554978	0.741419	0.647098	0.413405	0.481254	0.247091
ACVR1B	0.356903	0.935625	0.577104	0.571372	0.697797	0.087994
ACVR1C	0.719189	0.28986	0.71791	0.24218	0.328561	0.56985
ACVR2A	0.350979	0.939308	0.582204	0.561257	0.671442	0.105671
ACVR2B	0.528224	0.783747	0.656032	0.393469	0.550062	0.187626
ACVRL1	0.721519	0.283182	0.768425	0.137687	0.308363	0.635257
ACY1	0.703922	0.333022	0.647712	0.411932	0.269379	0.758409
ACY3	0.588394	0.673263	0.459811	0.775939	0.34258	0.525068
ACYP1	0.751643	0.19563	0.623713	0.467616	0.253598	0.803094
ACYP2	0.6516	0.500565	0.479554	0.748245	0.412224	0.348392
ADA	0.67245	0.434667	0.610898	0.49865	0.347557	0.511073
ADA2	0.732217	0.252443	0.60303	0.516671	0.225716	0.868303
ADAD1	0.614769	0.608642	0.471043	0.761061	0.382466	0.416548
ADAD2	0.503721	0.814093	0.51026	0.697275	0.450537	0.283968
ADAL	0.725866	0.270857	0.603401	0.515443	0.276486	0.734397
ADAM10	0.337491	0.948048	0.350676	0.899632	0.698542	0.087258
ADAM11	0.649083	0.508078	0.629002	0.455733	0.320327	0.597348
ADAM12	0.750063	0.199656	0.649586	0.407955	0.296634	0.673116
ADAM15	0.667918	0.448858	0.684864	0.320354	0.295844	0.676307
ADAM17	0.426715	0.885539	0.518984	0.683575	0.577816	0.168672
ADAM18	0.660242	0.473705	0.600482	0.521532	0.308664	0.634078
ADAM19	0.704234	0.332188	0.636249	0.438547	0.309507	0.631083
ADAM2	0.645561	0.519568	0.595681	0.531451	0.294172	0.681758
ADAM20	0.667406	0.450724	0.642373	0.423963	0.263277	0.777216
ADAM21	0.61668	0.603486	0.673869	0.348294	0.282342	0.71726
ADAM22	0.613019	0.613405	0.611149	0.498257	0.407719	0.358556
ADAM23	0.406272	0.900417	0.440845	0.801129	0.623665	0.137638
ADAM28	0.695368	0.358851	0.651092	0.404518	0.273464	0.74466
ADAM29	0.679425	0.411097	0.780244	0.116769	0.277991	0.729241
ADAM30	0.693614	0.365234	0.689819	0.30852	0.279063	0.726492
ADAM32	0.711088	0.311957	0.68848	0.312202	0.224315	0.87125
ADAM33	0.703266	0.334643	0.735994	0.200098	0.273039	0.746379
ADAM5	0.516842	0.799313	0.363747	0.88765	0.461745	0.269335
ADAM7	0.66229	0.468107	0.657409	0.390277	0.256308	0.795924
ADAM8	0.734324	0.246354	0.688609	0.311908	0.260366	0.785171
ADAM9	0.720532	0.286325	0.663464	0.374662	0.262921	0.778247
ADAMDEC1	0.666693	0.453229	0.597799	0.527032	0.289029	0.697275
ADAMTS1	0.487822	0.831819	0.503555	0.70906	0.497227	0.231476
ADAMTS10	0.498259	0.820182	0.549757	0.625485	0.535908	0.199165
ADAMTS12	0.692279	0.369457	0.603834	0.514559	0.311986	0.623079
ADAMTS13	0.671046	0.438841	0.712352	0.255095	0.262094	0.78026
ADAMTS14	0.669937	0.442573	0.623243	0.468795	0.313264	0.619052
ADAMTS15	0.705081	0.329536	0.608059	0.50523	0.301673	0.656666
ADAMTS16	0.71903	0.290204	0.57592	0.573926	0.304523	0.647925
ADAMTS17	0.703172	0.335036	0.624673	0.46521	0.305533	0.644439
ADAMTS18	0.616234	0.604223	0.518728	0.684213	0.418777	0.335527
ADAMTS19	0.640849	0.534299	0.593901	0.535723	0.359711	0.478517
ADAMTS2	0.464079	0.853425	0.52048	0.681463	0.57171	0.172207
ADAMTS20	0.714916	0.302038	0.552229	0.62082	0.288699	0.698404
ADAMTS3	0.640103	0.536411	0.559106	0.607562	0.332897	0.554923
ADAMTS4	0.694193	0.362681	0.67338	0.349669	0.279006	0.726688
ADAMTS5	0.666101	0.455635	0.549089	0.626663	0.353542	0.494427
ADAMTS6	0.420997	0.889418	0.437323	0.805696	0.6021	0.152467
ADAMTS7	0.654976	0.491677	0.699273	0.285588	0.296451	0.674147
ADAMTS8	0.655909	0.488436	0.645639	0.41699	0.286525	0.704984
ADAMTS9	0.681144	0.405549	0.534665	0.655438	0.345668	0.51672
ADAMTSL1	0.670721	0.439971	0.575972	0.573828	0.357745	0.483918
ADAMTSL2	0.690991	0.372944	0.591851	0.540535	0.336185	0.544807
ADAMTSL3	0.710032	0.315149	0.608608	0.503953	0.315283	0.611834
ADAMTSL4	0.573595	0.704591	0.527719	0.668598	0.471742	0.258384
ADAMTSL4-AS1	0.656982	0.484311	0.636118	0.438743	0.304259	0.648711
ADAMTSL5	0.624089	0.583256	0.611341	0.497864	0.359498	0.479205
ADAP1	0.552755	0.745691	0.597202	0.528308	0.447412	0.28878
ADAP2	0.683708	0.396366	0.681978	0.328898	0.28788	0.700516
ADAR	0.572888	0.706015	0.476121	0.753253	0.463649	0.266879
ADARB1	0.430689	0.882053	0.311476	0.931402	0.706393	0.082691
ADARB2	0.453156	0.861969	0.392886	0.857992	0.674293	0.103658
ADARB2-AS1	0.682725	0.399853	0.630842	0.451314	0.609648	0.147017
ADAT1	0.431194	0.881414	0.245824	0.969752	0.511127	0.219642
ADAT2	0.644653	0.521728	0.591809	0.540584	0.378954	0.425288
ADAT3	0.573363	0.705033	0.491538	0.729094	0.35635	0.487061
ADCK1	0.629209	0.568475	0.669563	0.359833	0.390414	0.397889
ADCK2	0.70565	0.328357	0.733573	0.205058	0.301613	0.656862
ADCK5	0.778961	0.135919	0.79426	0.097668	0.223728	0.872821
ADCY1	0.566007	0.721336	0.700387	0.283329	0.590108	0.159833
ADCY10	0.649273	0.507587	0.636046	0.43889	0.340731	0.530567
ADCY2	0.626359	0.577068	0.710491	0.259465	0.520693	0.21208
ADCY3	0.700289	0.343776	0.754954	0.162239	0.305616	0.644341
ADCY4	0.764555	0.164989	0.813381	0.073508	0.263507	0.776577
ADCY5	0.52733	0.785072	0.72786	0.217383	0.589792	0.160029
ADCY6	0.702047	0.338129	0.748738	0.174368	0.337252	0.541566
ADCY7	0.781908	0.130273	0.767671	0.139308	0.281423	0.719617
ADCY8	0.755192	0.187135	0.791829	0.101399	0.317086	0.60604
ADCY9	0.51675	0.799411	0.662008	0.378934	0.581319	0.166118
ADCYAP1	0.750267	0.198969	0.63639	0.438055	0.429385	0.315787
ADCYAP1R1	0.85581	0.041738	0.838816	0.045028	0.177272	0.952271
ADD1	0.463031	0.854063	0.499141	0.716327	0.677318	0.101449
ADD2	0.40338	0.902578	0.417696	0.830248	0.721367	0.07395
ADD3	0.394108	0.909011	0.349887	0.900614	0.753192	0.056175
ADGB	0.644385	0.522612	0.523584	0.676504	0.415707	0.34137
ADGRA1	0.769401	0.154677	0.810041	0.077191	0.378623	0.426663
ADGRA2	0.720506	0.286472	0.711924	0.256273	0.371156	0.447336
ADGRA3	0.649285	0.507537	0.673272	0.350061	0.420217	0.33258
ADGRB1	0.384314	0.916425	0.589836	0.545789	0.688427	0.09423
ADGRB2	0.619278	0.595973	0.629167	0.455438	0.456162	0.276356
ADGRB3	0.576754	0.698748	0.612704	0.494623	0.44215	0.29644
ADGRD1	0.770558	0.152271	0.709276	0.262902	0.25518	0.798723
ADGRD2	0.701649	0.33916	0.779439	0.118389	0.268207	0.762043
ADGRE1	0.769688	0.154039	0.715618	0.247238	0.252236	0.806875
ADGRE2	0.791725	0.113135	0.784853	0.109993	0.177308	0.952075
ADGRE3	0.804044	0.095654	0.760799	0.152026	0.218255	0.883722
ADGRE4P	0.686867	0.385956	0.75416	0.163663	0.253403	0.803732
ADGRE5	0.733632	0.248269	0.75069	0.170734	0.197171	0.922711
ADGRF1	0.836801	0.058777	0.709661	0.262018	0.194922	0.926688
ADGRF2	0.657956	0.481316	0.642958	0.422637	0.32559	0.579131
ADGRF3	0.70848	0.319715	0.6897	0.308765	0.291954	0.688191
ADGRF4	0.796501	0.105966	0.713354	0.252345	0.233532	0.852345
ADGRF5	0.604036	0.638203	0.68338	0.324675	0.25078	0.810901
ADGRG1	0.749767	0.200442	0.695106	0.295998	0.254855	0.799656
ADGRG2	0.737243	0.237761	0.690878	0.306163	0.271459	0.75124
ADGRG3	0.741128	0.224896	0.717235	0.243604	0.242602	0.831819
ADGRG4	0.712051	0.309256	0.47195	0.759686	0.298902	0.665112
ADGRG5	0.768132	0.15728	0.704149	0.273803	0.237386	0.844734
ADGRG6	0.763242	0.167788	0.698644	0.287847	0.264006	0.775055
ADGRG7	0.820916	0.074736	0.722428	0.230985	0.214249	0.891972
ADGRL1	0.547177	0.755021	0.616715	0.484851	0.482726	0.245519
ADGRL2	0.547109	0.755119	0.541783	0.641345	0.543661	0.193076
ADGRL3	0.570121	0.712006	0.605561	0.510631	0.456621	0.275669
ADGRL4	0.737121	0.237957	0.630958	0.450872	0.263809	0.775694
ADGRV1	0.694157	0.362927	0.604671	0.512497	0.341455	0.528112
ADH1A	0.751993	0.194058	0.704115	0.274049	0.319646	0.599214
ADH1B	0.748349	0.204567	0.644931	0.418365	0.34051	0.531451
ADH1C	0.774878	0.143776	0.717475	0.243211	0.306283	0.642229
ADH4	0.753298	0.191407	0.735882	0.200295	0.322898	0.588166
ADH5	0.699471	0.346329	0.748178	0.175792	0.369314	0.453032
ADH6	0.789453	0.117211	0.719651	0.237908	0.254997	0.799165
ADH7	0.722179	0.281562	0.719967	0.23727	0.342195	0.526099
ADHFE1	0.748977	0.202799	0.584846	0.55561	0.30284	0.652885
ADI1	0.607922	0.628235	0.366406	0.884901	0.421209	0.330813
ADIG	0.731104	0.255536	0.793955	0.09811	0.252857	0.805254
ADIPOQ	0.728033	0.264326	0.648384	0.410263	0.398074	0.379917
ADIPOR1	0.609619	0.62357	0.611448	0.497618	0.445197	0.291775
ADIPOR2	0.720016	0.287847	0.670009	0.358556	0.299783	0.662509
ADIRF	0.815693	0.080137	0.76313	0.147999	0.185014	0.942107
ADISSP	0.649404	0.506997	0.519042	0.683378	0.34362	0.522023
ADK	0.696671	0.354874	0.558593	0.608348	0.283236	0.714952
ADM	0.692473	0.368574	0.35532	0.895949	0.391828	0.394942
ADM2	0.696236	0.356101	0.449261	0.789836	0.391111	0.396465
ADM5	0.665302	0.458532	0.652778	0.401178	0.305085	0.646305
ADNP	0.190774	0.995973	0.171733	0.992782	0.846752	0.013062
ADNP2	0.295451	0.969065	0.198366	0.986104	0.70627	0.08274
ADO	0.425768	0.886423	0.409892	0.839774	0.473659	0.256077
ADORA1	0.763806	0.16656	0.838135	0.045912	0.21087	0.897766
ADORA2A	0.661803	0.468991	0.808086	0.079843	0.397941	0.380358
ADORA2A-AS1	0.536737	0.772158	0.648051	0.411147	0.565332	0.176872
ADORA2B	0.71354	0.305033	0.821938	0.062264	0.270368	0.754874
ADORA3	0.75633	0.184287	0.852408	0.031918	0.17145	0.958753
ADPGK	0.569113	0.714265	0.413417	0.835404	0.294964	0.67945
ADPRH	0.652658	0.497668	0.646436	0.41478	0.237567	0.844144
