Name	Category	Type
A673_BONE	Gene knock-out studies	Gene-Level
BXPC3_PANCREAS	Gene knock-out studies	Gene-Level
CADOES1_BONE	Gene knock-out studies	Gene-Level
CAL120_BREAST	Gene knock-out studies	Gene-Level
COLO741_SKIN	Gene knock-out studies	Gene-Level
CORL105_LUNG	Gene knock-out studies	Gene-Level
EW8_BONE	Gene knock-out studies	Gene-Level
EWS502_BONE	Gene knock-out studies	Gene-Level
G402_SOFT_TISSUE	Gene knock-out studies	Gene-Level
HCC44_LUNG	Gene knock-out studies	Gene-Level
HS294T_SKIN	Gene knock-out studies	Gene-Level
HT29_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
L33_PANCREAS	Gene knock-out studies	Gene-Level
LNCAPCLONEFGC_PROSTATE	Gene knock-out studies	Gene-Level
MEWO_SKIN	Gene knock-out studies	Gene-Level
MHHES1_BONE	Gene knock-out studies	Gene-Level
NCIH1373_LUNG	Gene knock-out studies	Gene-Level
NCIH2009_LUNG	Gene knock-out studies	Gene-Level
PANC0327_PANCREAS	Gene knock-out studies	Gene-Level
PANC0813_PANCREAS	Gene knock-out studies	Gene-Level
PANC1_PANCREAS	Gene knock-out studies	Gene-Level
PATU8902_PANCREAS	Gene knock-out studies	Gene-Level
PATU8988T_PANCREAS	Gene knock-out studies	Gene-Level
PC3_PROSTATE	Gene knock-out studies	Gene-Level
RDES_BONE	Gene knock-out studies	Gene-Level
SKES1_BONE	Gene knock-out studies	Gene-Level
SU8686_PANCREAS	Gene knock-out studies	Gene-Level
T47D_BREAST	Gene knock-out studies	Gene-Level
TC32_BONE	Gene knock-out studies	Gene-Level
TC71_BONE	Gene knock-out studies	Gene-Level
TOV112D_OVARY	Gene knock-out studies	Gene-Level
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
143B_BONE	Gene knock-out studies	Gene-Level
42MGBA_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
5637_URINARY_TRACT	Gene knock-out studies	Gene-Level
59M_OVARY	Gene knock-out studies	Gene-Level
639V_URINARY_TRACT	Gene knock-out studies	Gene-Level
647V_URINARY_TRACT	Gene knock-out studies	Gene-Level
769P_KIDNEY	Gene knock-out studies	Gene-Level
786O_KIDNEY	Gene knock-out studies	Gene-Level
8305C_THYROID	Gene knock-out studies	Gene-Level
8MGBA_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
A2058_SKIN	Gene knock-out studies	Gene-Level
A2780_OVARY	Gene knock-out studies	Gene-Level
A549_LUNG	Gene knock-out studies	Gene-Level
ABC1_LUNG	Gene knock-out studies	Gene-Level
AGS_STOMACH	Gene knock-out studies	Gene-Level
ASPC1_PANCREAS	Gene knock-out studies	Gene-Level
AU565_BREAST	Gene knock-out studies	Gene-Level
BC3C_URINARY_TRACT	Gene knock-out studies	Gene-Level
BFTC905_URINARY_TRACT	Gene knock-out studies	Gene-Level
BFTC909_KIDNEY	Gene knock-out studies	Gene-Level
BHY_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Level
BICR22_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Level
BICR6_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Level
BT549_BREAST	Gene knock-out studies	Gene-Level
C2BBE1_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
C32_SKIN	Gene knock-out studies	Gene-Level
CAKI1_KIDNEY	Gene knock-out studies	Gene-Level
CAKI2_KIDNEY	Gene knock-out studies	Gene-Level
CAL27_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Level
CAL29_URINARY_TRACT	Gene knock-out studies	Gene-Level
CAL51_BREAST	Gene knock-out studies	Gene-Level
CAL78_BONE	Gene knock-out studies	Gene-Level
CALU6_LUNG	Gene knock-out studies	Gene-Level
CAMA1_BREAST	Gene knock-out studies	Gene-Level
CAOV3_OVARY	Gene knock-out studies	Gene-Level
CAS1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
CCK81_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
CFPAC1_PANCREAS	Gene knock-out studies	Gene-Level
CHAGOK1_LUNG	Gene knock-out studies	Gene-Level
CHP212_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Level
CJM_SKIN	Gene knock-out studies	Gene-Level
CL40_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
COLO678_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
COLO679_SKIN	Gene knock-out studies	Gene-Level
COLO792_SKIN	Gene knock-out studies	Gene-Level
COLO800_SKIN	Gene knock-out studies	Gene-Level
CORL279_LUNG	Gene knock-out studies	Gene-Level
CORL47_LUNG	Gene knock-out studies	Gene-Level
COV318_OVARY	Gene knock-out studies	Gene-Level
COV362_OVARY	Gene knock-out studies	Gene-Level
COV434_OVARY	Gene knock-out studies	Gene-Level
COV504_OVARY	Gene knock-out studies	Gene-Level
COV644_OVARY	Gene knock-out studies	Gene-Level
D283MED_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
D341MED_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
DANG_PANCREAS	Gene knock-out studies	Gene-Level
DAOY_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
DETROIT562_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Level
DKMG_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
DLD1_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
DU4475_BREAST	Gene knock-out studies	Gene-Level
EFM19_BREAST	Gene knock-out studies	Gene-Level
EFO21_OVARY	Gene knock-out studies	Gene-Level
EFO27_OVARY	Gene knock-out studies	Gene-Level
EKVX_LUNG	Gene knock-out studies	Gene-Level
EPLC272H_LUNG	Gene knock-out studies	Gene-Level
ES2_OVARY	Gene knock-out studies	Gene-Level
ESS1_ENDOMETRIUM	Gene knock-out studies	Gene-Level
F5_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
FADU_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Level
FU97_STOMACH	Gene knock-out studies	Gene-Level
G292CLONEA141B1_BONE	Gene knock-out studies	Gene-Level
G401_SOFT_TISSUE	Gene knock-out studies	Gene-Level
GAMG_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
GB1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
GCIY_STOMACH	Gene knock-out studies	Gene-Level
GI1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
GSS_STOMACH	Gene knock-out studies	Gene-Level
H4_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
HARA_LUNG	Gene knock-out studies	Gene-Level
HCC1143_BREAST	Gene knock-out studies	Gene-Level
HCC1359_LUNG	Gene knock-out studies	Gene-Level
HCC1395_BREAST	Gene knock-out studies	Gene-Level
HCC1419_BREAST	Gene knock-out studies	Gene-Level
HCC1428_BREAST	Gene knock-out studies	Gene-Level
HCC15_LUNG	Gene knock-out studies	Gene-Level
HCC1806_BREAST	Gene knock-out studies	Gene-Level
HCC1937_BREAST	Gene knock-out studies	Gene-Level
HCC1954_BREAST	Gene knock-out studies	Gene-Level
HCC202_BREAST	Gene knock-out studies	Gene-Level
HCC56_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
HCC827_LUNG	Gene knock-out studies	Gene-Level
HCC95_LUNG	Gene knock-out studies	Gene-Level
HEC1A_ENDOMETRIUM	Gene knock-out studies	Gene-Level
HEC1B_ENDOMETRIUM	Gene knock-out studies	Gene-Level
HEC251_ENDOMETRIUM	Gene knock-out studies	Gene-Level
HEC50B_ENDOMETRIUM	Gene knock-out studies	Gene-Level
HEC59_ENDOMETRIUM	Gene knock-out studies	Gene-Level
HEC6_ENDOMETRIUM	Gene knock-out studies	Gene-Level
HEYA8_OVARY	Gene knock-out studies	Gene-Level
HGC27_STOMACH	Gene knock-out studies	Gene-Level
HLF_LIVER	Gene knock-out studies	Gene-Level
HMC18_BREAST	Gene knock-out studies	Gene-Level
HOP62_LUNG	Gene knock-out studies	Gene-Level
HS294T_SKIN_2	Gene knock-out studies	Gene-Level
HS578T_BREAST	Gene knock-out studies	Gene-Level
HS683_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
HS695T_SKIN	Gene knock-out studies	Gene-Level
HS729_SOFT_TISSUE	Gene knock-out studies	Gene-Level
HS766T_PANCREAS	Gene knock-out studies	Gene-Level
HS944T_SKIN	Gene knock-out studies	Gene-Level
HSC3_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Level
HT1080_SOFT_TISSUE	Gene knock-out studies	Gene-Level
HT115_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
HT1197_URINARY_TRACT	Gene knock-out studies	Gene-Level
HT1376_URINARY_TRACT	Gene knock-out studies	Gene-Level
HT144_SKIN	Gene knock-out studies	Gene-Level
HT55_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
HUH1_LIVER	Gene knock-out studies	Gene-Level
HUH6_LIVER	Gene knock-out studies	Gene-Level
HUH7_LIVER	Gene knock-out studies	Gene-Level
HUPT3_PANCREAS	Gene knock-out studies	Gene-Level
IGR1_SKIN	Gene knock-out studies	Gene-Level
IGR39_SKIN	Gene knock-out studies	Gene-Level
IMR32_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Level
IPC298_SKIN	Gene knock-out studies	Gene-Level
JHH1_LIVER	Gene knock-out studies	Gene-Level
JHH4_LIVER	Gene knock-out studies	Gene-Level
JHH5_LIVER	Gene knock-out studies	Gene-Level
JHH7_LIVER	Gene knock-out studies	Gene-Level
JHOC5_OVARY	Gene knock-out studies	Gene-Level
JHOM1_OVARY	Gene knock-out studies	Gene-Level
JHOS2_OVARY	Gene knock-out studies	Gene-Level
JHOS4_OVARY	Gene knock-out studies	Gene-Level
JIMT1_BREAST	Gene knock-out studies	Gene-Level
JMSU1_URINARY_TRACT	Gene knock-out studies	Gene-Level
K029AX_SKIN	Gene knock-out studies	Gene-Level
KALS1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
KELLY_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Level
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
KLE_ENDOMETRIUM	Gene knock-out studies	Gene-Level
KM12_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
KMBC2_URINARY_TRACT	Gene knock-out studies	Gene-Level
KMRC1_KIDNEY	Gene knock-out studies	Gene-Level
KMRC20_KIDNEY	Gene knock-out studies	Gene-Level
KNS42_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
KNS60_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
KNS62_LUNG	Gene knock-out studies	Gene-Level
KNS81_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
KP2_PANCREAS	Gene knock-out studies	Gene-Level
KP3_PANCREAS	Gene knock-out studies	Gene-Level
KP4_PANCREAS	Gene knock-out studies	Gene-Level
KPL1_BREAST	Gene knock-out studies	Gene-Level
KPNYN_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Level
KS1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
KU1919_URINARY_TRACT	Gene knock-out studies	Gene-Level
KURAMOCHI_OVARY	Gene knock-out studies	Gene-Level
KYSE180_OESOPHAGUS	Gene knock-out studies	Gene-Level
KYSE270_OESOPHAGUS	Gene knock-out studies	Gene-Level
KYSE30_OESOPHAGUS	Gene knock-out studies	Gene-Level
KYSE410_OESOPHAGUS	Gene knock-out studies	Gene-Level
KYSE450_OESOPHAGUS	Gene knock-out studies	Gene-Level
KYSE70_OESOPHAGUS	Gene knock-out studies	Gene-Level
LCLC103H_LUNG	Gene knock-out studies	Gene-Level
LI7_LIVER	Gene knock-out studies	Gene-Level
LK2_LUNG	Gene knock-out studies	Gene-Level
LN18_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
LN235_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
LN382_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
LN443_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
LNZ308_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
LOVO_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
LS1034_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
LS180_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
LS513_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
LUDLU1_LUNG	Gene knock-out studies	Gene-Level
LXF289_LUNG	Gene knock-out studies	Gene-Level
M059K_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
MALME3M_SKIN	Gene knock-out studies	Gene-Level
MCAS_OVARY	Gene knock-out studies	Gene-Level
MDAMB157_BREAST	Gene knock-out studies	Gene-Level
MDAMB231_BREAST	Gene knock-out studies	Gene-Level
MDAMB415_BREAST	Gene knock-out studies	Gene-Level
MDAMB435S_SKIN	Gene knock-out studies	Gene-Level
MDAMB436_BREAST	Gene knock-out studies	Gene-Level
MDAMB453_BREAST	Gene knock-out studies	Gene-Level
MDAMB468_BREAST	Gene knock-out studies	Gene-Level
MDST8_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
MELHO_SKIN	Gene knock-out studies	Gene-Level
MELJUSO_SKIN	Gene knock-out studies	Gene-Level
MFE319_ENDOMETRIUM	Gene knock-out studies	Gene-Level
MHHNB11_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Level
MIAPACA2_PANCREAS	Gene knock-out studies	Gene-Level
MKN45_STOMACH	Gene knock-out studies	Gene-Level
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene knock-out studies	Gene-Level
MORCPR_LUNG	Gene knock-out studies	Gene-Level
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene knock-out studies	Gene-Level
NB1_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Level
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene knock-out studies	Gene-Level
NCIH1299_LUNG	Gene knock-out studies	Gene-Level
NCIH1437_LUNG	Gene knock-out studies	Gene-Level
NCIH1581_LUNG	Gene knock-out studies	Gene-Level
NCIH1650_LUNG	Gene knock-out studies	Gene-Level
NCIH1693_LUNG	Gene knock-out studies	Gene-Level
NCIH1703_LUNG	Gene knock-out studies	Gene-Level
NCIH1792_LUNG	Gene knock-out studies	Gene-Level
NCIH1944_LUNG	Gene knock-out studies	Gene-Level
NCIH2023_LUNG	Gene knock-out studies	Gene-Level
NCIH2030_LUNG	Gene knock-out studies	Gene-Level
NCIH2087_LUNG	Gene knock-out studies	Gene-Level
NCIH2110_LUNG	Gene knock-out studies	Gene-Level
NCIH2122_LUNG	Gene knock-out studies	Gene-Level
NCIH2126_LUNG	Gene knock-out studies	Gene-Level
NCIH2170_LUNG	Gene knock-out studies	Gene-Level
NCIH2172_LUNG	Gene knock-out studies	Gene-Level
NCIH2291_LUNG	Gene knock-out studies	Gene-Level
NCIH23_LUNG	Gene knock-out studies	Gene-Level
NCIH322_LUNG	Gene knock-out studies	Gene-Level
NCIH441_LUNG	Gene knock-out studies	Gene-Level
NCIH460_LUNG	Gene knock-out studies	Gene-Level
NCIH520_LUNG	Gene knock-out studies	Gene-Level
NCIH716_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
NCIH747_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
NCIH838_LUNG	Gene knock-out studies	Gene-Level
NCIN87_STOMACH	Gene knock-out studies	Gene-Level
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
NUGC3_STOMACH	Gene knock-out studies	Gene-Level
OAW28_OVARY	Gene knock-out studies	Gene-Level
OE21_OESOPHAGUS	Gene knock-out studies	Gene-Level
OE33_OESOPHAGUS	Gene knock-out studies	Gene-Level
ONS76_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
OSRC2_KIDNEY	Gene knock-out studies	Gene-Level
OUMS23_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
OV7_OVARY	Gene knock-out studies	Gene-Level
OV90_OVARY	Gene knock-out studies	Gene-Level
OVCAR8_OVARY	Gene knock-out studies	Gene-Level
OVISE_OVARY	Gene knock-out studies	Gene-Level
OVK18_OVARY	Gene knock-out studies	Gene-Level
OVMANA_OVARY	Gene knock-out studies	Gene-Level
OVTOKO_OVARY	Gene knock-out studies	Gene-Level
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene knock-out studies	Gene-Level
PANC0203_PANCREAS	Gene knock-out studies	Gene-Level
PANC0403_PANCREAS	Gene knock-out studies	Gene-Level
PANC1005_PANCREAS	Gene knock-out studies	Gene-Level
PATU8988S_PANCREAS	Gene knock-out studies	Gene-Level
PC14_LUNG	Gene knock-out studies	Gene-Level
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Level
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
PK1_PANCREAS	Gene knock-out studies	Gene-Level
PK45H_PANCREAS	Gene knock-out studies	Gene-Level
PK59_PANCREAS	Gene knock-out studies	Gene-Level
PLCPRF5_LIVER	Gene knock-out studies	Gene-Level
PSN1_PANCREAS	Gene knock-out studies	Gene-Level
RCC10RGB_KIDNEY	Gene knock-out studies	Gene-Level
RD_SOFT_TISSUE	Gene knock-out studies	Gene-Level
RERFLCAD1_LUNG	Gene knock-out studies	Gene-Level
RERFLCAI_LUNG	Gene knock-out studies	Gene-Level
RH30_SOFT_TISSUE	Gene knock-out studies	Gene-Level
RKN_SOFT_TISSUE	Gene knock-out studies	Gene-Level
RKO_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
RMUGS_OVARY	Gene knock-out studies	Gene-Level
RPMI7951_SKIN	Gene knock-out studies	Gene-Level
RT112_URINARY_TRACT	Gene knock-out studies	Gene-Level
RT11284_URINARY_TRACT	Gene knock-out studies	Gene-Level
RT4_URINARY_TRACT	Gene knock-out studies	Gene-Level
RVH421_SKIN	Gene knock-out studies	Gene-Level
SCABER_URINARY_TRACT	Gene knock-out studies	Gene-Level
SF295_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
SF767_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
SH10TC_STOMACH	Gene knock-out studies	Gene-Level
SIMA_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Level
SJSA1_BONE	Gene knock-out studies	Gene-Level
SKBR3_BREAST	Gene knock-out studies	Gene-Level
SKHEP1_LIVER	Gene knock-out studies	Gene-Level
SKMEL24_SKIN	Gene knock-out studies	Gene-Level
SKMEL30_SKIN	Gene knock-out studies	Gene-Level
SKMES1_LUNG	Gene knock-out studies	Gene-Level
SKNAS_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Level
SKNBE2_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Level
SKNDZ_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Level
SKNFI_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Level
SKNMC_BONE	Gene knock-out studies	Gene-Level
SKOV3_OVARY	Gene knock-out studies	Gene-Level
